! New Baselines version (Feb 2010)
! 2030 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2030_022510.xls
swp_3pattern_SLRule
month            percent          demand           b4lowpoint
                8               30              467             2467
                9               30              672             2000
               10               30              721             1327
               11               30              606              606
               12               30              380              380
                8               50              432             2314
                9               50              595             1882
               10               50              673             1286
               11               50              613              613
               12               50              400              400
                8              100            381.2           1722.6
                9              100            444.1           1341.4
               10              100            448.8            897.3
               11              100            448.5            448.5
               12              100            321.0            321.0
