!Average past five SJR 60-20-20 water year types											
!Joint model											
!Extended 6/27/05 from 1998 to 2003 by C.Quan-DWR.											
wytypeSJRave5											
wateryear	index_0	index_1	index_2	index_3	index_4	index_5	index_6	index_7	index_8	index_9	index_10
1922	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
1923	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
1924	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00
1925	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00
1926	3.00	3.80	4.00	2.80	2.40	3.20	3.80	4.20	3.00	3.00	3.40
1927	3.20	4.00	4.20	3.00	2.60	3.40	4.00	4.60	3.20	3.20	3.80
1928	3.40	4.20	4.60	3.40	2.80	3.80	4.40	4.80	3.40	3.40	4.20
1929	3.40	4.20	4.60	3.40	2.60	3.80	4.40	4.80	3.40	3.40	4.20
1930	3.80	4.40	4.60	3.60	3.00	4.20	4.60	4.80	3.80	3.80	4.40
1931	4.00	4.40	4.60	3.80	3.40	4.20	4.60	4.80	4.00	4.00	4.40
1932	4.00	4.60	4.80	3.80	3.40	4.20	4.80	4.80	4.00	4.00	4.40
1933	4.20	4.80	4.80	3.80	3.60	4.20	4.80	4.80	4.20	4.20	4.60
1934	4.20	4.80	4.80	3.80	3.80	4.20	4.80	4.80	4.20	4.20	4.60
1935	3.60	4.40	4.40	3.40	3.40	3.60	4.40	4.60	3.60	3.60	4.20
1936	3.00	4.00	4.00	2.60	2.60	3.00	4.00	4.20	3.00	2.80	3.60
1937	2.80	3.80	3.80	2.40	2.40	3.00	3.60	4.20	2.80	2.60	3.40
1938	2.20	3.00	3.00	2.00	2.00	2.40	2.80	3.40	2.20	2.00	2.60
1939	2.00	3.00	3.00	1.60	1.40	2.20	2.60	3.40	1.80	1.60	2.40
1940	2.00	3.00	3.00	1.60	1.20	2.20	2.60	3.40	1.80	1.60	2.20
1941	1.80	2.80	2.80	1.60	1.20	2.00	2.40	3.20	1.60	1.60	2.00
1942	1.80	2.60	2.60	1.60	1.20	1.80	2.40	3.00	1.60	1.60	2.00
1943	1.80	2.80	2.80	1.60	1.20	2.00	2.60	3.40	1.60	1.60	2.20
1944	1.60	2.60	2.80	1.40	1.20	1.80	2.60	3.40	1.60	1.60	2.20
1945	1.60	2.60	2.80	1.40	1.20	1.80	2.60	3.40	1.60	1.60	2.40
1946	1.80	2.80	3.20	1.60	1.40	2.00	2.80	3.80	1.80	1.80	2.80
1947	2.40	3.40	3.80	2.00	1.80	2.80	3.40	4.20	2.40	2.40	3.40
1948	2.80	4.00	4.40	2.40	2.20	3.20	4.00	4.60	2.80	2.80	4.00
1949	2.80	4.20	4.40	2.60	2.40	3.40	4.20	4.60	3.00	2.80	4.20
1950	3.00	4.40	4.80	2.60	2.60	3.80	4.60	4.80	3.20	3.00	4.40
1951	3.00	4.40	4.80	2.60	2.60	4.00	4.60	4.80	3.20	3.00	4.40
1952	2.40	3.60	4.00	2.20	2.20	3.20	3.80	4.20	2.60	2.40	3.60
1953	2.40	3.20	3.80	2.00	2.00	3.00	3.60	4.20	2.40	2.20	3.20
1954	2.40	3.00	3.80	1.80	1.80	2.80	3.40	4.20	2.20	2.20	3.00
1955	2.60	3.20	3.80	2.00	2.00	3.00	3.40	4.20	2.40	2.40	3.20
1956	2.40	3.00	3.40	1.80	1.80	2.60	3.20	3.80	2.20	2.20	3.00
1957	2.80	3.40	4.00	2.00	2.00	3.00	3.80	4.40	2.60	2.40	3.40
1958	2.40	3.20	3.60	1.80	1.80	2.60	3.40	4.00	2.40	2.20	3.00
1959	2.60	3.40	3.60	2.00	2.00	2.80	3.60	4.00	2.40	2.20	3.20
1960	2.80	3.40	3.60	2.20	2.20	2.80	3.60	4.00	2.60	2.40	3.20
1961	3.60	4.00	4.20	3.00	3.00	3.60	4.20	4.60	3.40	3.20	3.80
1962	3.60	4.40	4.20	3.00	3.00	3.60	4.20	4.60	3.20	3.20	3.80
1963	3.80	4.60	4.40	3.00	3.00	3.80	4.40	4.80	3.40	3.40	4.20
1964	3.80	4.60	4.40	3.20	3.20	4.00	4.40	4.80	3.80	3.60	4.20
1965	3.00	4.00	4.00	2.60	2.60	3.40	4.20	4.40	3.20	3.00	3.60
1966	2.60	3.80	4.00	2.20	2.20	3.20	4.20	4.40	2.80	2.60	3.60
1967	2.20	3.00	3.40	2.00	2.00	2.80	3.60	3.60	2.60	2.40	3.20
1968	2.60	3.40	3.80	2.40	2.40	3.20	4.00	3.80	3.00	2.60	3.60
1969	2.00	2.60	3.00	1.80	1.80	2.40	3.20	3.00	2.20	2.00	2.80
1970	2.20	2.60	3.00	2.00	1.80	2.40	3.00	3.00	2.20	1.80	2.80
1971	2.20	2.60	3.00	1.80	1.60	2.20	2.80	3.00	2.20	1.60	2.40
1972	2.80	3.40	3.80	2.40	2.00	3.00	3.60	3.80	3.00	2.20	3.20
1973	2.40	3.00	3.60	2.20	1.60	2.60	3.20	3.60	2.60	2.00	2.80
1974	2.40	3.20	4.00	2.20	1.60	2.80	3.60	4.20	2.80	2.00	3.00
1975	2.20	3.40	4.00	2.00	1.60	2.80	3.60	4.40	2.80	2.00	3.00
1976	2.60	3.60	4.00	2.60	2.20	3.20	3.80	4.40	3.20	2.60	3.40
1977	2.80	3.60	4.00	2.80	2.60	3.20	3.80	4.40	3.20	2.80	3.40
1978	2.60	3.40	3.60	2.60	2.60	3.00	3.60	4.20	3.00	2.60	3.00
1979	2.80	3.60	3.60	2.60	2.60	3.00	3.60	4.20	3.00	2.60	3.00
1980	2.80	3.20	3.40	2.60	2.60	2.80	3.40	3.80	2.80	2.60	2.80
1981	2.60	3.20	3.40	2.20	2.00	2.60	3.40	3.80	2.40	2.20	2.60
1982	1.80	2.40	2.60	1.40	1.20	1.80	2.60	3.20	1.60	1.40	1.80
1983	1.80	2.20	2.40	1.40	1.20	1.80	2.40	2.80	1.60	1.40	1.80
1984	1.80	2.00	2.20	1.40	1.20	1.60	2.20	2.40	1.40	1.40	1.80
1985	2.40	2.60	2.80	1.80	1.60	2.20	2.80	3.00	1.80	1.80	2.40
1986	1.80	2.00	2.20	1.40	1.40	1.60	2.20	2.60	1.40	1.40	2.00
1987	2.60	2.80	3.00	2.00	2.00	2.40	3.00	3.20	2.20	2.20	2.80
1988	3.40	3.60	3.80	2.80	2.80	3.20	3.80	4.00	3.00	3.00	3.60
1989	4.00	4.20	4.40	3.40	3.40	4.00	4.40	4.60	3.80	3.80	4.20
1990	4.20	4.40	4.40	3.80	3.80	4.20	4.40	4.60	4.20	4.20	4.40
1991	5.00	5.00	5.00	4.60	4.40	5.00	5.00	5.00	5.00	4.80	5.00
