shasta_level634
month   storage level
    1       0       0
    1    1600       1
    1    2000       2
    1    3034       3
    1    3634       4
    1    4383       5
    1    9999       6
    2       0       0
    2    1600       1
    2    2000       2
    2    3034       3
    2    3634       4
    2    3783       5
    2    9999       6
    3       0       0
    3    1600       1
    3    2000       2
    3    3034       3
    3    3634       4
    3    3783       5
    3    9999       6
    4       0       0
    4    1600       1
    4    2000       2
    4    3034       3
    4    3634       4
    4    4033       5
    4    9999       6
    5       0       0
    5    1600       1
    5    2000       2
    5    3034       3
    5    3634       4
    5    4433       5
    5    9999       6
    6       0       0
    6    1600       1
    6    2000       2
    6    3134       3
    6    3834       4
    6    4933       5
    6    9999       6
    7       0       0
    7    2200       1
    7    2800       2
    7    3834       3
    7    4434       4
    7    5163       5
    7    9999       6
    8       0       0
    8    2400       1
    8    3000       2
    8    4134       3
    8    4834       4
    8    5184       5
    8    9999       6
    9       0       0
    9    2400       1
    9    2900       2
    9    3934       3
    9    4434       4
    9    5033       5
    9    9999       6
   10       0       0
   10    2200       1
   10    2800       2
   10    3834       3
   10    4434       4
   10    5033       5
   10    9999       6
   11       0       0
   11    2100       1
   11    2500       2
   11    3634       3
   11    4234       4
   11    4833       5
   11    9999       6
   12       0       0
   12    1900       1
   12    2300       2
   12    3434       3
   12    4034       4
   12    4533       5
   12    9999       6
