SJRR_Reqs						
month	YT	release	thruJun	thruSep	AprI	AprII
1	1	350	0	0	0	0
2	1	802	0	0	0	0
3	1	350	0	0	0	0
4	1	350	0	0	0	0
5	1	350	520.26	0.00	0	0
6	1	1016	500.82	564.69	0	0
7	1	3300	438.35	502.21	2500	4000
8	1	2000	241.98	305.85	0	0
9	1	2000	119.01	182.88	0	0
10	1	350	0.00	63.87	0	0
11	1	350	0.00	42.35	0	0
12	1	350	0.00	20.83	0	0
1	2	350	0.00	0.00	0	0
2	2	756	0.00	0.00	0	0
3	2	350	0.00	0.00	0	0
4	2	350	0.00	0.00	0	0
5	2	350	320.62	0.00	0	0
6	2	1016	301.18	365.05	0	0
7	2	3300	238.71	302.58	2500	4000
8	2	350	42.35	106.21	0	0
9	2	350	20.83	84.69	0	0
10	2	350	0.00	63.87	0	0
11	2	350	0.00	42.35	0	0
12	2	350	0.00	20.83	0	0
1	3	350	0.00	0.00	0	0
2	3	756	0.00	0.00	0	0
3	3	350	0.00	0.00	0	0
4	3	350	0.00	0.00	0	0
5	3	350	204.77	0.00	0	0
6	3	1016	185.33	249.20	0	0
7	3	1353	122.86	186.72	2500	350
8	3	350	42.35	106.21	0	0
9	3	350	20.83	84.69	0	0
10	3	350	0.00	63.87	0	0
11	3	350	0.00	42.35	0	0
12	3	350	0.00	20.83	0	0
1	4	350	0	0	0	0
2	4	802	0	0	0	0
3	4	350	0	0	0	0
4	4	350	0	0	0	0
5	4	350	145.08	0	0	0
6	4	1016	125.64	189.51	0	0
7	4	350	63.17	127.04	350	350
8	4	350	42.35	106.21	0	0
9	4	350	20.83	84.69	0	0
10	4	350	0	63.87	0	0
11	4	350	0	42.35	0	0
12	4	350	0	20.83	0	0
1	5	160	0	0	0	0
2	5	290	0	0	0	0
3	5	120	0	0	0	0
4	5	110	0	0	0	0
5	5	110	106.49	0	0	0
6	5	1016	100.39	147.22	0	0
7	5	200	37.91	84.74	200	200
8	5	215	26.01	72.84	0	0
9	5	215	12.79	59.62	0	0
10	5	255	0	46.83	0	0
11	5	255	0	31.15	0	0
12	5	260	0	15.47	0	0
1	6	160	0	0	0	0
2	6	238	0	0	0	0
3	6	120	0	0	0	0
4	6	100	0	0	0	0
5	6	100	45.46	0	0	0
6	6	130	39.91	80.69	0	0
7	6	150	31.91	72.69	150	150
8	6	190	22.99	63.77	0	0
9	6	190	11.31	52.09	0	0
10	6	230	0	40.78	0	0
11	6	230	0	26.64	0	0
12	6	210	0	12.5	0	0
