!Extended 6/17/05 from 1994 to 2003 by C.Quan-DWR.											
delta_index											
wateryear	Dlt_Idx_0	Dlt_Idx_1	Dlt_Idx_2	Dlt_Idx_3	Dlt_Idx_4	Dlt_Idx_5	Dlt_Idx_6	Dlt_Idx_7	Dlt_Idx_8	Dlt_Idx_9	Dlt_Idx_10
1960	12159	10916	9897	15015	13990	11967	11395	8880	15466	14261	12192
1961	9108	7585	7240	10508	10418	8555	7383	6910	10183	10139	8389
1962	14280	11427	12524	17730	17390	15269	12752	11871	19571	17864	15595
1963	19054	17957	16739	23041	22977	19511	16957	15841	23070	23193	19286
1964	8061	7431	7236	9844	9461	8305	7251	7018	9701	9232	8247
1965	18378	17812	17982	24213	22661	20292	16780	18879	25181	22424	20517
1966	11785	9801	9374	14459	14501	11272	9377	9313	13790	13144	11155
1967	20029	19077	19026	24326	23432	21500	18963	20361	25986	25584	22379
1968	12079	10135	9487	15519	15192	11440	9889	9203	14989	14006	11743
1969	28783	27347	29388	34520	34887	32519	29196	29833	38446	38768	34301
1970	21410	20495	20992	24537	26699	23707	20225	20812	26440	27629	24573
1971	16186	14062	14159	19554	18127	16408	14283	14231	19311	18577	16633
1972	11588	9520	9219	14587	14619	11318	9280	9014	13560	13708	11228
1973	18848	16236	15182	23682	22611	18772	16106	15060	24388	22219	19334
1974	24961	23186	23092	30346	29718	26162	23845	22434	31158	31553	26743
1975	16882	14274	14608	21257	19735	17319	15713	13799	23224	22066	17956
1976	5654	5929	5353	7343	7458	6167	5601	5095	7029	7008	6110
1977	3092	3233	3030	3925	4099	3443	3095	2838	3893	3813	3436
1978	23841	20600	20160	26966	26158	23482	20514	19878	28534	27795	24724
1979	13620	12179	11241	17657	17007	13947	12419	10656	17904	16389	14072
1980	23212	21695	21118	29581	29748	25205	22317	21087	32075	30235	26685
1981	10241	8342	7619	11970	11988	9324	8121	7388	12019	11249	9514
1982	27540	28375	27757	37085	33989	31386	28404	27273	37789	36357	31694
1983	33109	31983	33155	42077	39303	36871	34131	33454	45750	43451	38555
1984	14326	14556	14057	19171	18134	16597	14028	13437	18253	17565	15438
1985	8568	8046	7778	11094	10640	8996	7804	7285	10672	10229	8663
1986	28004	25450	27494	34569	33408	30691	26732	25537	37902	35168	30958
1987	8037	6926	6413	10201	9736	7646	6862	5807	10094	9100	7741
1988	7158	5967	5681	8480	8616	6900	5772	5682	8173	8128	6964
1989	13771	10794	10669	15736	15482	12842	10969	9937	15005	15831	12358
1990	7564	6499	5896	8550	8773	6983	6223	5488	8567	8079	7034
1991	7806	6383	6862	8636	8696	7571	6990	5674	8642	9440	7797
