shasta_level443
month   storage level
    1       0       0
    1    1600       1
    1    2000       2
    1    2843       3
    1    3443       4
    1    4192       5
    1    9999       6
    2       0       0
    2    1600       1
    2    2000       2
    2    2843       3
    2    3443       4
    2    3592       5
    2    9999       6
    3       0       0
    3    1600       1
    3    2000       2
    3    2843       3
    3    3443       4
    3    3592       5
    3    9999       6
    4       0       0
    4    1600       1
    4    2000       2
    4    2843       3
    4    3443       4
    4    3842       5
    4    9999       6
    5       0       0
    5    1600       1
    5    2000       2
    5    2843       3
    5    3443       4
    5    4242       5
    5    9999       6
    6       0       0
    6    1600       1
    6    2000       2
    6    2943       3
    6    3643       4
    6    4742       5
    6    9999       6
    7       0       0
    7    2200       1
    7    2800       2
    7    3643       3
    7    4243       4
    7    4972       5
    7    9999       6
    8       0       0
    8    2400       1
    8    3000       2
    8    3943       3
    8    4643       4
    8    4993       5
    8    9999       6
    9       0       0
    9    2400       1
    9    2900       2
    9    3743       3
    9    4243       4
    9    4842       5
    9    9999       6
   10       0       0
   10    2200       1
   10    2800       2
   10    3643       3
   10    4243       4
   10    4842       5
   10    9999       6
   11       0       0
   11    2100       1
   11    2500       2
   11    3443       3
   11    4043       4
   11    4642       5
   11    9999       6
   12       0       0
   12    1900       1
   12    2300       2
   12    3243       3
   12    3843       4
   12    4342       5
   12    9999       6
