res_info
res_num         storage         area            discharge       elevation
1               0               0               6550            1945
1               300000          3900            6550            2142
1               580000          6100            7390            2199
1               860000          8000            7910            2239
1               1070000         9400            8210            2263
1               1280000         10700           8470            2284
1               1600000         12500           8800            2311
1               2000000         14300           9220            2345
1               2300000         15500           9410            2361
1               2500000         16300           32040           2373
3               0               0               8100            958
3               13000           500             8100            1075
3               39000           1000            9400            1112
3               78000           1600            10400           1142
3               116000          2100            10900           1163
3               142000          2300            11200           1174
3               168000          2600            11600           1185
3               194000          2800            11800           1194
3               233000          3200            12200           1207
3               250000          3300            12400           1212
4               0               0               0               0
4               100000          2400            0               738
4               150000          2800            4000            750
4               350000          5200            10000           800
4               572000          7200            13000           838
4               1168000         12000           38000           900
4               1686000         15200           44000           938
4               2515000         20000           65000           985
4               3713000         26400           80000           1037
4               4552100         30000           271000          1067
4		5152100		32015		275326		1086.1
4		5187100		32196		282067		1087.5
6               0               0               50000           340
6               29638           594             50000           340
6               120000          1553            50000           440
6               480000          3950            50000           570
6               846367          5810            50000           639
6               852192          5838            50000           640
6               1008000         6550            20700           668
6               1680000         9340            21000           750
6               2352000         11851           21400           819
6               3553405         15855           280000          901
6               3864497         16899           750000          920
8               0               0               0               0
8               10              2               0               210
8               47723           1311            16800           305
8               93313           2152            28090           332
8               142549          3094            29930           351
8               192005          3976            31170           365
8               240914          4894            32130           376
8               287955          5548            32850           385
8               386088          6718            34130           401
8               677845          9406            132770          437
8               976955          11183           466690          466
11              0               0               0               0
11              37980           1686            14376           326.2
11              142500          3049            14376           369.2
11              247000          3757            14376           399.6
11              356250          4307            14376           426.6
11              475000          4745            14376           452.8
11              665000          5307            14376           490.5
11              807500          5670            14376           516.4
11              902500          5897            14376           532.8
11              998000          6103            14376           548.7
12              0               0               0               0
12              42000           1864            14376           326.2
12              157500          3369            14376           369.2
12              273000          4153            14376           399.6
12              393750          4761            14376           426.6
12              525000          5245            14376           452.8
12              735000          5865            14376           490.5
12              892500          6266            14376           516.4
12              997500          6518            14376           532.8
12              1102000         6745            14376           548.7
