! source spreadsheet: BST_SWP_SOD_2011DRR_090911_Future.xls                
swp_3pattern_demands                    
contractor     month     percent   demand    remainDemand
1    4    100  0.21 35.75
1    5    100  2.82 35.54
1    6    100  1.92 32.72
1    7    100  4.11 30.80
1    8    100  6.27 26.69
1    9    100  6.38 20.42
1    10   100  3.20 14.03
1    11   100  3.62 10.84
1    12   100  2.66 7.22
1    1    100  3.77 4.56
1    2    100  0.78 0.79
1    3    100  0.01 0.01
2    4    100  0.01 42.65
2    5    100  0.05 42.64
2    6    100  0.19 42.59
2    7    100  0.30 42.40
2    8    100  2.41 42.10
2    9    100  6.05 39.69
2    10   100  7.39 33.64
2    11   100  6.96 26.25
2    12   100  6.68 19.29
2    1    100  5.33 12.60
2    2    100  3.63 7.28
2    3    100  3.64 3.64
3    4    100  1.96 42.00
3    5    100  1.96 40.04
3    6    100  1.98 38.07
3    7    100  2.70 36.09
3    8    100  4.36 33.40
3    9    100  4.62 29.03
3    10   100  4.62 24.41
3    11   100  4.62 19.79
3    12   100  4.62 15.17
3    1    100  4.62 10.55
3    2    100  3.72 5.93
3    3    100  2.21 2.21
4    4    100  3.60 141.40
4    5    100  3.60 137.80
4    6    100  3.60 134.19
4    7    100  4.12 130.59
4    8    100  15.55     126.48
4    9    100  15.55     110.92
4    10   100  15.55     95.37
4    11   100  15.55     79.81
4    12   100  15.55     64.26
4    1    100  17.12     48.71
4    2    100  18.25     31.58
4    3    100  13.34     13.34
5    4    100  1.06 12.70
5    5    100  1.06 11.64
5    6    100  1.06 10.58
5    7    100  1.06 9.53
5    8    100  1.06 8.47
5    9    100  1.06 7.41
5    10   100  1.06 6.35
5    11   100  1.06 5.29
5    12   100  1.06 4.23
5    1    100  1.06 3.18
5    2    100  1.06 2.12
5    3    100  1.06 1.06
6    4    100  6.61 82.50
6    5    100  6.08 75.89
6    6    100  4.74 69.81
6    7    100  5.00 65.07
6    8    100  9.56 60.07
6    9    100  9.08 50.51
6    10   100  9.08 41.44
6    11   100  9.08 32.36
6    12   100  9.08 23.29
6    1    100  6.34 14.21
6    2    100  5.00 7.87
6    3    100  2.86 2.86
7    4    100  0.50 9.60
7    5    100  0.50 9.10
7    6    100  0.50 8.59
7    7    100  0.50 8.09
7    8    100  1.30 7.59
7    9    100  1.06 6.29
7    10   100  1.06 5.23
7    11   100  1.06 4.17
7    12   100  1.06 3.12
7    1    100  1.06 2.06
7    2    100  0.50 1.01
7    3    100  0.50 0.50
8    4    100  6.52 128.45
8    5    100  6.52 121.93
8    6    100  6.52 115.41
8    7    100  6.52 108.89
8    8    100  6.52 102.37
8    9    100  6.52 95.85
8    10   100  6.52 89.33
8    11   100  21.93     82.81
8    12   100  15.22     60.87
8    1    100  15.22     45.66
8    2    100  15.22     30.44
8    3    100  15.22     15.22
9    4    100  1.84 27.50
9    5    100  1.81 25.66
9    6    100  2.14 23.86
9    7    100  2.33 21.72
9    8    100  2.39 19.39
9    9    100  2.47 17.00
9    10   100  3.03 14.53
9    11   100  3.03 11.50
9    12   100  3.03 8.48
9    1    100  2.34 5.45
9    2    100  1.55 3.11
9    3    100  1.55 1.55
10   4    100  0.00 9.31
10   5    100  0.00 9.31
10   6    100  0.00 9.31
10   7    100  0.00 9.31
10   8    100  1.17 9.31
10   9    100  1.17 8.14
10   10   100  1.16 6.98
10   11   100  1.16 5.82
10   12   100  1.16 4.66
10   1    100  1.17 3.50
10   2    100  1.17 2.33
10   3    100  1.17 1.17
11   4    100  0.33 5.80
11   5    100  0.33 5.47
11   6    100  0.28 5.14
11   7    100  0.34 4.86
11   8    100  0.49 4.51
11   9    100  0.66 4.03
11   10   100  0.64 3.37
11   11   100  0.64 2.73
11   12   100  0.64 2.09
11   1    100  0.58 1.46
11   2    100  0.47 0.87
11   3    100  0.41 0.41
12   4    100  0.00 43.85
12   5    100  0.00 43.85
12   6    100  1.38 43.85
12   7    100  4.72 42.47
12   8    100  4.72 37.75
12   9    100  4.72 33.03
12   10   100  4.72 28.32
12   11   100  4.72 23.60
12   12   100  4.72 18.88
12   1    100  4.72 14.16
12   2    100  4.72 9.44
12   3    100  4.72 4.72
13   4    100  0.39 50.34
13   5    100  0.39 49.96
13   6    100  0.39 49.57
13   7    100  0.39 49.18
13   8    100  2.99 48.79
13   9    100  9.59 45.80
13   10   100  9.06 36.22
13   11   100  9.06 27.16
13   12   100  6.19 18.09
13   1    100  3.69 11.91
13   2    100  0.99 8.22
13   3    100  7.23 7.23
14   4    100  0.00 2.00
14   5    100  0.00 2.00
14   6    100  0.00 2.00
14   7    100  0.27 2.00
14   8    100  0.33 1.73
14   9    100  0.33 1.40
14   10   100  0.33 1.07
14   11   100  0.33 0.73
14   12   100  0.27 0.40
14   1    100  0.00 0.13
14   2    100  0.00 0.13
14   3    100  0.13 0.13
15   4    100  5.40 134.60
15   5    100  5.40 129.20
15   6    100  7.47 123.80
15   7    100  13.68     116.33
15   8    100  14.81     102.65
15   9    100  14.81     87.84
15   10   100  14.81     73.04
15   11   100  14.81     58.23
15   12   100  14.81     43.43
15   1    100  13.68     28.62
15   2    100  9.54 14.94
15   3    100  5.40 5.40
16   4    100  5.86 620.87
16   5    100  5.94 615.01
16   6    100  12.46     609.07
16   7    100  23.32     596.61
16   8    100  47.12     573.30
16   9    100  114.40    526.18
16   10   100  106.18    411.78
16   11   100  124.71    305.60
16   12   100  61.84     180.89
16   1    100  47.77     119.05
16   2    100  31.46     71.29
16   3    100  39.83     39.83
17   4    100  0.00 92.73
17   5    100  0.00 92.73
17   6    100  0.00 92.73
17   7    100  0.00 92.73
17   8    100  15.89     92.73
17   9    100  17.57     76.84
17   10   100  19.26     59.26
17   11   100  15.05     40.01
17   12   100  11.12     24.96
17   1    100  5.89 13.83
17   2    100  4.86 7.95
17   3    100  3.08 3.08
18   4    100  0.06 59.13
18   5    100  0.06 59.07
18   6    100  0.06 59.01
18   7    100  0.50 58.94
18   8    100  9.28 58.44
18   9    100  11.67     49.16
18   10   100  11.71     37.49
18   11   100  9.56 25.78
18   12   100  7.84 16.22
18   1    100  4.01 8.38
18   2    100  2.70 4.37
18   3    100  1.67 1.67
19   4    100  0.22 75.41
19   5    100  2.37 75.18
19   6    100  1.86 72.82
19   7    100  5.55 70.95
19   8    100  9.71 65.41
19   9    100  13.08     55.70
19   10   100  15.52     42.61
19   11   100  13.91     27.10
19   12   100  8.20 13.19
19   1    100  4.27 4.99
19   2    100  0.24 0.72
19   3    100  0.47 0.47
20   4    100  0.10 2.30
20   5    100  0.10 2.20
20   6    100  0.16 2.10
20   7    100  0.17 1.93
20   8    100  0.26 1.76
20   9    100  0.25 1.50
20   10   100  0.25 1.25
20   11   100  0.25 0.99
20   12   100  0.26 0.74
20   1    100  0.18 0.48
20   2    100  0.16 0.29
20   3    100  0.13 0.13
21   4    100  28.91     280.07
