! DI = Demand Index (taf); represents delivery + carryover capability of project
! DEL = Delivery target (taf) for corresponding DI
! CAR = Carryover target (taf) for corresponding DI (not used in delivery allocation process)
DELCAR_CVP_SYS
di	del	car
   0       0       0
3990	3055	 935
5442	3402	2040
7162	4122	3040
8717	4637	4080
10434	5704	4730
11395	6515	4880
15099	9999	5100
