!	LFF - lateral flow loss fraction lateral flow					
!	DPF - deep percolation loss fraction  					
!	OSF - canal operating spill fraction  					
!	EVF - evaporative loss fraction  					
!	Diversions = AW*(1+ RPF) + Div*(EVF+DPF+LFF+OSF) -GP -RU					
!	AW = ET+SR - PR +DP+TW					
!	RU = min(TW, RUFR*AWR + RUFO*AWO + RUFW*AWW)					
!	GPminCFS = GPmin * (1+ RPF)* (AWo + AWr + Aww) -GPmin* (AWo * RUFo +  AWr * RUFr + AWW*RUFw)					
flowlossfactors						
ID	lff	dpf	osf	evf		
89	0.03	0.03	0.03	0.01	!	D_SEC009_17S_PR
90	0.000	0.010	0.000	0.010	!	D_SBP014_17S_NA
91	0.050	0.060	0.030	0.010	!	D_FTR003_17S_SA
92	0.000	0.010	0.000	0.000	!	D_BSL001_18_NA
93	0.000	0.010	0.000	0.000	!	D_SBP031_18_NA
94	0.000	0.010	0.000	0.000	!	D_SAC136_18_NA
95	0.000	0.010	0.000	0.000	!	D_SAC136_18_SA
96	0.080	0.100	0.030	0.010	!	D_SAC091_19_SA
97	0.080	0.100	0.030	0.010	!	D_SAC099_19_SA
98	0.080	0.100	0.030	0.010	!	D_SAC109_19_SA
99	0.080	0.100	0.030	0.010	!	D_SAC115_19_SA
100	0.080	0.100	0.030	0.010	!	D_SAC122_19_SA
101	0.030	0.030	0.030	0.010	!	D_CCH030_20_NA1
102	0.030	0.030	0.030	0.010	!	D_CCH052_20_NA1
103	0.000	0.010	0.000	0.000	!	D_PSC003_20_PA
104	0.000	0.010	0.000	0.000	!	D_SAC081_21_NA
105	0.000	0.010	0.000	0.000	!	D_SAC074_21_SA
106	0.000	0.010	0.000	0.000	!	D_SAC083_21_SA
107	0.000	0.010	0.000	0.000	!	D_YBP023_21_SA
108	0.240	0.240	0.240	0.010	!	D_KLR005_21_PA
109	0.000	0.010	0.000	0.000	!	D_SAC082_22_SA1
110	0.000	0.010	0.000	0.000	!	D_SAC078_22_SA1
111	0.000	0.010	0.000	0.000	!	D_CRC002_22_SA1
112	0.240	0.240	0.240	0.010	!	D_SAC075_22_NA
113	0.250	0.250	0.250	0.010	!	D_FTR003_22_SA2
114	0.070	0.090	0.030	0.010	!	D_ABN006_23_NA
115	0.070	0.090	0.030	0.010	!	D_BRR017_23_NA
116	0.180	0.180	0.180	0.010	!	D_CBC001_24_NA1
117	0.180	0.180	0.180	0.010	!	D_ABN024_24_NA1
118	0.180	0.180	0.180	0.010	!	D_WSE004_24_NA1
119	0.010	0.010	0.020	0.010	!	D_ABN010_24_NA2
120	0.050	0.060	0.030	0.010	!	D_STH004_24_NA3
121	0.050	0.060	0.030	0.010	!	D_LBC049_24_NA3
122	0.040	0.045	0.030	0.010	!	D_PSC003_25_PA1
123	0.000	0.010	0.000	0.000	!	D_PSC006_25_PA2
124	0.000	0.010	0.000	0.000	!	D_RFS25_25_PA2
125	0.070	0.090	0.030	0.010	!	D_WTPCSD_02_PA
126	0.04	0.045	0.03	0.01	!	D_CSL005_25_NA
127	0.03	0.03	0.03	0.01	!	D_FSC015_60N_NA2
