SoSJRSpills
yrtype  month   sp592_ag    sp571_ag
1       1       0.50        0.18
1       2       0.18        0.00
1       3       0.00        0.00
1       4       0.00        0.05
1       5       0.00        0.05
1       6       0.95        0.10
1       7       0.92        0.18
1       8       1.10        0.18
1       9       0.94        0.18
1       10      0.84        0.18
1       11      0.88        0.18
1       12      0.79        0.18
2       1       0.50        0.18
2       2       0.18        0.00
2       3       0.00        0.00
2       4       0.00        0.05
2       5       0.00        0.05
2       6       0.95        0.10
2       7       0.92        0.18
2       8       1.10        0.18
2       9       0.94        0.18
2       10      0.84        0.18
2       11      0.88        0.18
2       12      0.79        0.18
3       1       0.50        0.18
3       2       0.18        0.00
3       3       0.00        0.00
3       4       0.00        0.05
3       5       0.00        0.05
3       6       0.95        0.10
3       7       0.92        0.18
3       8       1.10        0.18
3       9       0.94        0.18
3       10      0.84        0.18
3       11      0.88        0.18
3       12      0.79        0.18
4       1       0.50        0.18
4       2       0.18        0.00
4       3       0.00        0.00
4       4       0.00        0.05
4       5       0.00        0.05
4       6       0.95        0.10
4       7       0.92        0.18
4       8       1.10        0.18
4       9       0.94        0.18
4       10      0.84        0.18
4       11      0.88        0.18
4       12      0.79        0.18
5       1       0.24        0.18
5       2       0.07        0.00
5       3       0.00        0.00
5       4       0.00        0.00
5       5       0.00        0.00
5       6       0.00        0.05
5       7       0.00        0.18
5       8       0.18        0.18
5       9       0.19        0.18
5       10      0.21        0.18
5       11      0.23        0.18
5       12      0.04        0.18
