!Data from CAM reconstructed forecast timeseries		
!Addded for the revised BDCP Proposed Project Oct 2012		
feather_runoff_April_90_forecast		
wateryear	month	frcst_fea
1922	1	0.00
1922	2	0.00
1922	3	0.00
1922	4	0.00
1922	5	0.00
1922	6	0.00
1922	7	1205.36
1922	8	1093.43
1922	9	488.21
1922	10	174.76
1922	11	105.24
1922	12	57.34
1923	1	0.00
1923	2	0.00
1923	3	0.00
1923	4	0.00
1923	5	0.00
1923	6	0.00
1923	7	569.74
1923	8	518.80
1923	9	255.94
1923	10	103.46
1923	11	47.72
1923	12	7.78
1924	1	0.00
1924	2	0.00
1924	3	0.00
1924	4	0.00
1924	5	0.00
1924	6	0.00
1924	7	223.70
1924	8	207.88
1924	9	126.48
1924	10	48.15
1924	11	5.27
1924	12	0.00
1925	1	0.00
1925	2	0.00
1925	3	0.00
1925	4	0.00
1925	5	0.00
1925	6	0.00
1925	7	353.74
1925	8	301.57
1925	9	172.23
1925	10	69.78
1925	11	21.48
1925	12	0.00
1926	1	0.00
1926	2	0.00
1926	3	0.00
1926	4	0.00
1926	5	0.00
1926	6	0.00
1926	7	275.41
1926	8	229.99
1926	9	137.60
1926	10	56.98
1926	11	11.10
1926	12	0.00
1927	1	0.00
1927	2	0.00
1927	3	0.00
1927	4	0.00
1927	5	0.00
1927	6	0.00
1927	7	680.05
1927	8	601.27
1927	9	273.80
1927	10	115.22
1927	11	60.30
1927	12	18.89
1928	1	0.00
1928	2	0.00
1928	3	0.00
1928	4	0.00
1928	5	0.00
1928	6	0.00
1928	7	446.15
1928	8	378.17
1928	9	206.65
1928	10	88.04
1928	11	32.85
1928	12	0.00
1929	1	0.00
1929	2	0.00
1929	3	0.00
1929	4	0.00
1929	5	0.00
1929	6	0.00
1929	7	273.70
1929	8	232.41
1929	9	136.17
1929	10	52.39
1929	11	10.29
1929	12	0.00
1930	1	0.00
1930	2	0.00
1930	3	0.00
1930	4	0.00
1930	5	0.00
1930	6	0.00
1930	7	306.80
1930	8	283.40
1930	9	149.10
1930	10	61.05
1930	11	17.05
1930	12	0.00
1931	1	0.00
1931	2	0.00
1931	3	0.00
1931	4	0.00
1931	5	0.00
1931	6	0.00
1931	7	257.51
1931	8	236.61
1931	9	136.18
1931	10	53.12
1931	11	10.30
1931	12	0.00
1932	1	0.00
1932	2	0.00
1932	3	0.00
1932	4	0.00
1932	5	0.00
1932	6	0.00
1932	7	406.29
1932	8	375.12
1932	9	187.28
1932	10	81.11
1932	11	30.84
1932	12	0.00
1933	1	0.00
1933	2	0.00
1933	3	0.00
1933	4	0.00
1933	5	0.00
1933	6	0.00
1933	7	368.21
1933	8	339.31
1933	9	163.18
1933	10	69.86
1933	11	23.17
1933	12	0.00
1934	1	0.00
1934	2	0.00
1934	3	0.00
1934	4	0.00
1934	5	0.00
1934	6	0.00
1934	7	354.16
1934	8	330.89
1934	9	187.94
1934	10	77.30
1934	11	24.04
1934	12	0.00
1935	1	0.00
1935	2	0.00
1935	3	0.00
1935	4	0.00
1935	5	0.00
1935	6	0.00
1935	7	776.34
1935	8	652.98
1935	9	296.94
1935	10	137.35
1935	11	68.08
1935	12	23.93
1936	1	0.00
1936	2	0.00
1936	3	0.00
1936	4	0.00
1936	5	0.00
1936	6	0.00
1936	7	564.03
1936	8	505.31
1936	9	266.14
1936	10	117.90
1936	11	52.76
1936	12	10.58
1937	1	0.00
1937	2	0.00
1937	3	0.00
1937	4	0.00
1937	5	0.00
1937	6	0.00
1937	7	678.48
1937	8	567.43
1937	9	266.38
1937	10	113.78
1937	11	54.28
1937	12	13.99
1938	1	0.00
1938	2	0.00
1938	3	0.00
1938	4	0.00
1938	5	0.00
1938	6	0.00
1938	7	1503.20
1938	8	1264.12
1938	9	596.28
1938	10	259.47
1938	11	146.17
1938	12	92.98
1939	1	0.00
1939	2	0.00
1939	3	0.00
1939	4	0.00
1939	5	0.00
1939	6	0.00
1939	7	347.35
1939	8	332.89
1939	9	179.98
1939	10	75.85
1939	11	23.77
1939	12	0.00
1940	1	0.00
1940	2	0.00
1940	3	0.00
1940	4	0.00
1940	5	0.00
1940	6	0.00
1940	7	720.04
1940	8	606.68
1940	9	301.90
1940	10	140.50
1940	11	66.86
1940	12	22.04
1941	1	0.00
1941	2	0.00
1941	3	0.00
1941	4	0.00
1941	5	0.00
1941	6	0.00
1941	7	724.52
1941	8	682.32
1941	9	293.20
1941	10	129.03
1941	11	66.44
1941	12	24.82
1942	1	0.00
1942	2	0.00
1942	3	0.00
1942	4	0.00
1942	5	0.00
1942	6	0.00
1942	7	615.66
1942	8	598.67
1942	9	279.38
1942	10	100.84
1942	11	51.56
1942	12	11.87
1943	1	0.00
1943	2	0.00
1943	3	0.00
1943	4	0.00
1943	5	0.00
1943	6	0.00
1943	7	438.31
1943	8	385.23
1943	9	189.80
1943	10	80.09
1943	11	33.65
1943	12	0.00
1944	1	0.00
1944	2	0.00
1944	3	0.00
1944	4	0.00
1944	5	0.00
1944	6	0.00
1944	7	520.08
1944	8	450.40
1944	9	220.84
1944	10	91.40
1944	11	39.63
1944	12	0.62
1945	1	0.00
1945	2	0.00
1945	3	0.00
1945	4	0.00
1945	5	0.00
1945	6	0.00
1945	7	584.13
1945	8	475.74
1945	9	249.90
1945	10	106.37
1945	11	47.97
1945	12	6.55
1946	1	0.00
1946	2	0.00
1946	3	0.00
1946	4	0.00
1946	5	0.00
1946	6	0.00
1946	7	599.87
1946	8	514.24
1946	9	272.09
1946	10	116.39
1946	11	52.76
1946	12	10.99
1947	1	0.00
1947	2	0.00
1947	3	0.00
1947	4	0.00
1947	5	0.00
1947	6	0.00
1947	7	463.74
1947	8	403.39
1947	9	220.69
1947	10	94.21
1947	11	36.35
1947	12	0.00
1948	1	0.00
1948	2	0.00
1948	3	0.00
1948	4	0.00
1948	5	0.00
1948	6	0.00
1948	7	542.64
1948	8	518.06
1948	9	242.67
1948	10	94.81
1948	11	37.85
1948	12	0.00
1949	1	0.00
1949	2	0.00
1949	3	0.00
1949	4	0.00
1949	5	0.00
1949	6	0.00
1949	7	481.55
1949	8	421.89
1949	9	224.07
1949	10	94.78
1949	11	36.20
1949	12	0.00
1950	1	0.00
1950	2	0.00
1950	3	0.00
1950	4	0.00
1950	5	0.00
1950	6	0.00
1950	7	508.63
1950	8	465.03
1950	9	217.74
1950	10	95.09
1950	11	41.97
1950	12	2.11
1951	1	0.00
1951	2	0.00
1951	3	0.00
1951	4	0.00
1951	5	0.00
1951	6	0.00
1951	7	500.09
1951	8	460.34
1951	9	226.39
1951	10	102.93
1951	11	43.92
1951	12	3.32
1952	1	0.00
1952	2	0.00
1952	3	0.00
1952	4	0.00
1952	5	0.00
1952	6	0.00
1952	7	1691.29
1952	8	1451.66
1952	9	674.92
1952	10	246.66
1952	11	155.91
1952	12	107.39
1953	1	0.00
1953	2	0.00
1953	3	0.00
1953	4	0.00
1953	5	0.00
1953	6	0.00
1953	7	537.25
1953	8	509.62
1953	9	249.20
1953	10	90.01
1953	11	42.41
1953	12	5.29
1954	1	0.00
1954	2	0.00
1954	3	0.00
1954	4	0.00
1954	5	0.00
1954	6	0.00
1954	7	586.75
1954	8	507.07
1954	9	262.39
1954	10	117.80
1954	11	52.19
1954	12	9.73
1955	1	0.00
1955	2	0.00
1955	3	0.00
1955	4	0.00
1955	5	0.00
1955	6	0.00
1955	7	379.94
1955	8	323.74
1955	9	172.02
1955	10	66.70
1955	11	22.43
1955	12	0.00
1956	1	0.00
1956	2	0.00
1956	3	0.00
1956	4	0.00
1956	5	0.00
1956	6	0.00
1956	7	606.35
1956	8	545.14
1956	9	259.07
1956	10	101.20
1956	11	50.16
1956	12	11.98
1957	1	0.00
1957	2	0.00
1957	3	0.00
1957	4	0.00
1957	5	0.00
1957	6	0.00
1957	7	393.71
1957	8	369.28
1957	9	184.55
1957	10	78.65
1957	11	27.16
1957	12	0.00
1958	1	0.00
