SWP_Butt_Alloc
SWP_SOD_Alloc    Butt
0                0.11
0.05             0.11
0.1              0.15
0.15             0.18
0.2              0.22
0.25             0.55
0.3              0.60
0.35             0.65
0.4              0.70
0.45             0.75
0.5              0.80
0.55             0.85
0.6              1.00
0.65             1.00
0.7              1.00
0.75             1.00
0.8              1.00
0.85             1.00
0.9              1.00
0.95             1.00
1                1.00
