! FWS_BO_A3_Temp.table																						
!																						
! Temperature trigger for FWS BO Action 3.																						
! Assumes 1:1 correlation between monthly air temperature at Sacramento Executive Airport and 3-station avererage water temperatures ( Antioch, Mossdale, Rio Vista)																						
! Trigger dates are estimated by assuming monthly temperatures occuring in mid-month and interpolating temperature for the remaining days.																						
! Below table provides pre-processed dates of occurence for Action 3 temperature trigger (which is also the offramp criterion for Actions 1 and 2).																						
!																						
FWS_BO_A3_Temp																						
Year	Wmonth_0	Day_0	Wmonth_1	Day_1	Wmonth_2	Day_2	Wmonth_3	Day_3	Wmonth_4	Day_4	Wmonth_5	Day_5	Wmonth_6	Day_6	Wmonth_7	Day_7	Wmonth_8	Day_8	Wmonth_9	Day_9	Wmonth_10	Day_10
1922	7	1	6	20	6	20	6	20	6	20	6	1	6	20	6	20	6	20	6	20	6	1
1923	6	11	6	5	6	5	6	5	6	5	6	11	6	5	6	5	6	5	6	5	6	11
1924	5	14	5	8	5	8	5	8	5	8	5	14	5	8	5	8	5	8	5	8	5	14
1925	6	4	5	14	5	14	5	14	5	14	5	4	5	14	5	14	5	14	5	14	5	4
1926	5	20	5	13	5	13	5	13	5	13	5	20	5	13	5	13	5	13	5	13	5	20
1927	6	20	5	22	5	22	5	22	5	22	5	20	5	22	5	22	5	22	5	22	5	20
1928	5	28	5	18	5	18	5	18	5	18	5	28	5	18	5	18	5	18	5	18	5	28
1929	6	22	6	22	6	22	6	22	6	22	6	22	6	22	6	22	6	22	6	22	6	22
1930	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6
1931	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23	5	23
1932	6	9	6	9	6	9	6	9	6	9	6	9	6	9	6	9	6	9	6	9	6	9
1933	6	13	6	13	6	13	6	13	6	13	6	13	6	13	6	13	6	13	6	13	6	13
1934	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18
1935	6	29	6	29	6	29	6	29	6	29	6	29	6	29	6	29	6	29	6	29	6	29
1936	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6	7
1937	6	13	6	13	6	13	6	13	6	13	6	13	6	13	6	13	6	13	6	13	6	13
1938	6	26	6	26	6	26	6	26	6	26	6	26	6	26	6	26	6	26	6	26	6	26
1939	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15
1940	5	28	5	28	5	28	5	28	5	28	5	28	5	28	5	28	5	28	5	28	5	28
1941	5	27	5	27	5	27	5	27	5	27	5	27	5	27	5	27	5	27	5	27	5	27
1942	6	30	6	30	6	30	6	30	6	30	6	30	6	30	6	30	6	30	6	30	6	30
1943	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8	6	8
1944	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15	6	15
1945	6	30	6	30	6	30	6	30	6	30	6	30	6	30	6	30	6	30	6	30	6	30
1946	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23	6	23
1947	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5	6	5
