salinity_std_col                   !AM 11/21/98 -- Suisun EC (mmhos/cm) standard at Collinsville(WQCP 5/95)
month       ECstandard1     beginday1   endday1     ECstandard2     beginday2   endday2          
1           19.0            1           31          19.0            0           0
2           15.5            1           30          19.0            0           0
3           15.5            1           31          19.0            0           0
4           12.5            1           31          19.0            0           0
5            8.0            1           28          19.0            0           0
6            8.0            1           31          19.0            0           0
7           11.0            1           30          19.0            0           0
8           11.0            1           31          19.0            0           0
