fresno_agdist
forecast    month   fresno_pattern
0           1       0
6           1       0
12          1       0
18          1       0
24          1       20
40          1       16.67
999         1       16.67
0           2       0
6           2       0
12          2       0
18          2       0
24          2       0
40          2       0
999         2       0
0           3       0
6           3       0
12          3       0
18          3       0
24          3       0
40          3       0
999         3       0
0           4       0
6           4       0
12          4       0
18          4       0
24          4       0
40          4       0
999         4       0
0           5       0
6           5       0
12          5       0
18          5       0
24          5       0
40          5       0
999         5       0
0           6       0
6           6       0
12          6       0
18          6       0
24          6       0
40          6       0
999         6       0
0           7       0
6           7       0
12          7       0
18          7       0
24          7       0
40          7       0
999         7       0
0           8       0
6           8       0
12          8       0
18          8       0
24          8       0
40          8       16.67
999         8       16.67
0           9       0
6           9       0
12          9       33.33
18          9       25
24          9       20
40          9       16.67
999         9       16.67
0           10      100
6           10      50
12          10      33.33
18          10      25
24          10      20
40          10      16.67
999         10      16.67
0           11      0
6           11      50
12          11      33.33
18          11      25
24          11      20
40          11      16.67
999         11      16.67
0           12      0
6           12      0
12          12      0
18          12      25
24          12      20
40          12      16.67
999         12      16.67

