wsi_di_SWP
wsi     di
0.0 0.0
500.0 1847.4371337890625
1000.0 1847.4371337890625
1500.0 1847.4371337890625
2000.0 1847.4371337890625
2500.0 1847.4371337890625
3000.0 1862.3526120141178
3500.0 2612.1856413495248
4000.0 3232.334501133523
4500.0 4536.012132772804
5000.0 5469.046135330388
5500.0 6231.922940967543
6000.0 7426.041712642531
6500.0 7960.770488630428
7000.0 8162.458709484266
7500.0 8296.124752643329
8000.0 8296.124752643329
8500.0 8296.124752643329
9000.0 8296.124752643329
9500.0 8296.124752643329
10000.0 8296.124752643329
10500.0 8296.124752643329
11000.0 8296.124752643329
11500.0 8296.124752643329
12000.0 8296.124752643329
12500.0 8296.124752643329
13000.0 8296.124752643329
13500.0 8296.124752643329
14000.0 8296.124752643329
14500.0 8296.124752643329
15000.0 8296.124752643329
15500.0 8296.124752643329
16000.0 8296.124752643329
16500.0 8296.124752643329
17000.0 8296.124752643329
17500.0 8296.124752643329
18000.0 8296.124752643329
18500.0 8296.124752643329
19000.0 8296.124752643329
19500.0 8296.124752643329
20000.0 8296.124752643329
