! created by ryan wilbur 10-6-03
! X2 required days for chipps
! 
CAM_X2_CHP
PMI	Feb	Mar	Apr	May	Jun	
0	0	0	0	0	0
250	0	0	0	0	0
333	0	0	0	0	0
417	0	0	0	0	0
500	0	0	0	0	0
562	0	0	0	0	0
625	0	0	0	0	0
688	0	0	0	0	0
750	0	0	0	0	0
771	0	1	0	0	0
792	0	2	0	0	0
812	2	3	0	0	0
833	5	4	1	0	0
854	8	5	1	0	0
875	11	6	1	0	0
896	13	7	1	0	0
917	16	8	1	0	0
938	19	9	1	0	0
959	22	10	2	0	0
980	25	11	2	0	0
1000	28	12	2	0	0
1011	28	13	2	0	0
1025	28	14	2	0	0
1039	28	15	3	0	0
1053	28	16	3	0	0
1066	28	17	3	0	0
1079	28	18	3	0	0
1092	28	19	3	0	0
1106	28	20	4	0	0
1120	28	21	4	0	0
1133	28	22	4	0	0
1147	28	23	4	0	0
1160	28	24	5	0	0
1174	28	25	5	0	0
1187	28	26	5	0	0
1201	28	27	5	0	0
1214	28	28	5	0	0
1223	28	29	6	0	0
1236	28	30	6	0	0
1250	28	31	6	0	0
1286	28	31	7	0	0
1321	28	31	8	0	0
1357	28	31	9	0	0
1393	28	31	10	0	0
1429	28	31	11	0	0
1464	28	31	12	0	0
1500	28	31	13	0	0
1536	28	31	14	0	0
1571	28	31	15	0	0
1607	28	31	16	0	0
1643	28	31	17	0	0
1679	28	31	18	0	0
1714	28	31	19	0	0
1750	28	31	20	0	0
1800	28	31	21	0	0
1850	28	31	22	0	0
1900	28	31	23	1	0
1950	28	31	24	1	0
2000	28	31	25	1	0
2125	28	31	26	2	0
2250	28	31	27	3	0
2281	28	31	27	4	0
2313	28	31	27	5	0
2344	28	31	28	6	0
2375	28	31	28	7	1
2406	28	31	28	8	1
2438	28	31	29	9	1
2469	28	31	29	10	1
2500	28	31	29	11	1
2528	28	31	29	12	1
2556	28	31	29	13	1
2583	28	31	29	14	1
2611	28	31	29	15	1
2639	28	31	29	16	2
2667	28	31	29	17	2
2695	28	31	29	18	2
2722	28	31	29	19	2
2750	28	31	29	20	2
2786	28	31	29	21	2
2821	28	31	29	22	3
2857	28	31	29	23	3
2893	28	31	30	24	3
2929	28	31	30	25	3
2964	28	31	30	26	4
3000	28	31	30	27	4
3062	28	31	30	28	5
3125	28	31	30	28	6
3188	28	31	30	29	7
3250	28	31	30	29	8
3300	28	31	30	29	9
3350	28	31	30	29	10
3400	28	31	30	30	11
3450	28	31	30	30	12
3500	28	31	30	30	13
3550	28	31	30	30	14
3600	28	31	30	30	15
3650	28	31	30	31	16
3700	28	31	30	31	17
3750	28	31	30	31	18
3800	28	31	30	31	19
3850	28	31	30	31	20
3900	28	31	30	31	21
3950	28	31	30	31	22
4000	28	31	30	31	23
4083	28	31	30	31	24
4167	28	31	30	31	24
4250	28	31	30	31	25
4333	28	31	30	31	26
4417	28	31	30	31	26
4500	28	31	30	31	27
4625	28	31	30	31	28
4750	28	31	30	31	28
4875	28	31	30	31	28
5000	28	31	30	31	29
5125	28	31	30	31	29
5250	28	31	30	31	29
5333	28	31	30	31	29
5417	28	31	30	31	30
5500	28	31	30	31	30
5562	28	31	30	31	30
5625	28	31	30	31	30
5688	28	31	30	31	30
5750	28	31	30	31	30
5833	28	31	30	31	30
5917	28	31	30	31	30
6000	28	31	30	31	30
6083	28	31	30	31	30
6167	28	31	30	31	30
6250	28	31	30	31	30
6333	28	31	30	31	30
6417	28	31	30	31	30
6500	28	31	30	31	30
6625	28	31	30	31	30
6750	28	31	30	31	30
6875	28	31	30	31	30
7000	28	31	30	31	30
7250	28	31	30	31	30
7500	28	31	30	31	30
7750	28	31	30	31	30
8000	28	31	30	31	30
8250	28	31	30	31	30
8500	28	31	30	31	30
8750	28	31	30	31	30
9000	28	31	30	31	30
9250	28	31	30	31	30
9500	28	31	30	31	30
9750	28	31	30	31	30
10000	28	31	30	31	30
