! Created By CAM_preprocess_v2007.xlam on 12/14/2010	
! Pumping limits for Banks and Tracy pumping plants.	
CAM_pumping_limit	
month	banks	tracy	ei
4	8500	4600	0.65
5	8500	4600	0.45
6	8500	4600	0.35
7	6680	4600	0.35
8	6680	4600	0.35
9	6680	4600	0.35
10	6680	4600	0.65
11	6680	4600	0.65
12	6680	4600	0.65
1	6680	4600	0.65
2	6680	4600	0.65
3	6680	4600	0.65
