! Days Open for Delta Cross-Channel Gate (D1485 or WQCP 1995 for D1641)
!	headers	month	days_open
xchanneldays
month           days_open_D1641		days_open_D1485
1               31			31
2               20			30
3               16			31
4               11			 0
5                0			 0
6                0			 0
7                0			 9
8                0			17
9               26			30
10              31			31
11              31			31
12              30			30
