salinity_std_emt_new               !RW 8/29/00 -- AG EC (mmhos/cm) standard at Emmaton (WQCP 5/95)                                         
month     wyt_SAC   ECstandard	ECstandard_BDCP    
7         1         0.45        0.65   
8         1         0.45        0.65   
9         1         0.45        0.65   
10        1         0.45        0.65   
11        1         1.650       2.62    
7         2         0.45        0.65   
8         2         0.45        0.65      
9         2         0.45        0.65   
10        2         0.63        0.95   
11        2         1.740       2.77    
7         3         0.45        0.65   
8         3         0.45        0.65   
9         3         0.680       1.03    
10        3         1.14        1.79   
11        3         1.990       3.18    
7         4         0.45        0.65           
8         4         0.45        0.65   
9         4         1.060       1.66    
10        4         1.67        2.66   
11        4         2.240       3.59    
7         5         2.78        4.48   
8         5         2.78        4.48   
9         5         2.78        4.48   
10        5         2.78        4.48   
11        5         2.780       4.48 
