WaterRight_NTHRM
month	SWPWR1_NTHRM	SWPWR2_NTHRM	WR_NTHRM
4	0.00		 35.00		 2.49
5	0.02		  0.00		 2.62
6	0.65		 11.11		 2.62
7	23.84		 66.67		 2.49
8	30.72		188.89		 3.83
9	34.97		177.78		 4.93
10	34.90		200.00		 4.17
11	27.39		177.78		 9.00
12	19.21		 77.78		13.37
1	3.79		 95.00		11.90
2	0.11		104.00		 6.85
3	0.00		 71.00		 4.50
