! Constant Low Level Pumping for 2 ranges of SAC flow
NDD_t1
month	range1	prc1	range2	prc2
1	5000	0.06	12000	0.06
2	5000	0.06	12000	0.06
3	5000	0.06	12000	0.06
4	5000	0.06	12000	0.06
5	5000	0.06	12000	0.06
6	5000	0.06	12000	0.06
7	5000	0.06	12000	0.06
8	5000	0.06	12000	0.06
9	5000	0.06	12000	0.06
10	5000	0.06	12000	0.06
11	5000	0.06	12000	0.06
12	5000	0.06	12000	0.06

