!Extension to 2003 C.Quan-DWR												
feather_runoff_forecast												
wateryear	month	frcst_fea_0	frcst_fea_1	frcst_fea_2	frcst_fea_3	frcst_fea_4	frcst_fea_5	frcst_fea_6	frcst_fea_7	frcst_fea_8	frcst_fea_9	frcst_fea_10
1973	7	1448	1308.3	1056.7	1446.7	1651.4	1282.9	1139.2	862	1121.6	1332.6	1076.7
1973	8	586	516.6	393.2	554.8	668.9	496.3	427.6	302.4	397.4	507.8	390.9
1974	4	2186	1943.4	2015.2	2473.2	2458.3	2187.2	1979.4	1816.5	2500.7	2514.1	2164.6
1974	5	1962	1739.3	1771.6	2049.5	2147	1905	1721	1512.2	2001	2176.2	1817.5
1974	6	1604	1417	1428.4	1648.6	1738.5	1542.2	1392.6	1196.2	1591.1	1765.9	1455.3
1974	7	2430	2118.2	2002.3	2248.5	2524.3	2198.1	1972.4	1613.8	1963.4	2353.2	1944.3
1974	8	1499	1273.5	1111.5	1258.7	1507.8	1253.9	1093.7	832.1	962.5	1241.9	1002.7
1975	4	1367	1222	1166.5	1628	1577.6	1366.3	1244.2	1077.3	1733.1	1663.8	1380.2
1975	5	1194	1071.2	1018.5	1413.8	1373.8	1189.1	1090.6	932.5	1507.5	1453.1	1199.9
1975	6	1543	1365.8	1265.1	1729.2	1736.3	1488.6	1363.3	1139	1719.6	1789.9	1467.4
1975	7	1822	1603.2	1428.1	1934.8	2044.3	1688.4	1545.7	1235.5	1755.4	1959.9	1587.4
1975	8	1555	1344.4	1131	1574.5	1757.2	1370.9	1224.2	912.1	1298.8	1547.2	1214
1976	4	1064	959.2	881.7	1171.3	1217.8	1012.1	908.5	807.2	1135	1135.4	1007.7
1976	5	819	745.2	682.9	895.2	933.4	772.2	700.4	613.8	874.6	875.1	769.5
1976	6	778	716.9	653.2	840.9	874.9	730	671.3	580.8	822.9	829.9	724.7
1976	7	608	566.5	503.6	628.8	664.5	564.6	528.4	450.6	596.7	632.4	546.9
1976	8	388	365	321.9	392.6	421.7	359.7	339.1	288.6	371.6	401	345.5
1977	4	791	639.7	600.6	864.7	928.4	717.3	614.2	486.4	849.6	800.4	710.7
1977	5	701	571.1	524.9	742.8	813.8	623	540.6	415	714.1	691.9	608.9
1977	6	607	500.5	453.3	633.3	694	535.9	472.1	357.1	602.2	594.3	521.2
1977	7	514	430.1	381.9	524.2	579.1	450.2	405.5	301.8	492.1	499.8	434.7
1977	8	346	290.9	255.8	345.2	385.9	300.8	275.1	202.5	323	334.8	289.8
1978	4	1080	1011.1	969.7	1212.8	1246.8	1093.9	990.4	920.6	1224.3	1263.2	1115.7
1978	5	1954	1818.4	1627.7	2037.3	2162.6	1840.6	1688.6	1430.1	1870.2	2052.2	1725.9
1978	6	1909	1740.4	1489.1	1789.3	2023.7	1696.6	1544	1260.3	1545.8	1856.6	1524.2
1978	7	1926	1700.4	1424.9	1640.2	1983.1	1616.8	1440.7	1135.3	1334.6	1689.2	1348.3
1978	8	1911	1679.4	1337	1525.9	1955.5	1543.3	1356.4	1035	1212.5	1558.6	1227.2
1979	4	1082	969.9	915.8	1297.9	1261.9	1066.3	1009.5	808.6	1288.8	1233.1	1061.6
1979	5	1040	939.5	872.6	1212.1	1203.8	1009	969.9	747.7	1171.2	1158	985.5
1979	6	1318	1163	1049.2	1417.4	1470.7	1214.1	1167.8	882.4	1275.6	1364	1146.8
1979	7	1251	1074.6	941.4	1250	1361	1098.3	1050.1	781.4	1073.7	1215	1001.4
1979	8	895	757.4	646	847.8	961.9	761.1	722.1	533.7	710.1	832.2	674.8
1980	4	1579	1415.2	1333.5	1865	1843.3	1570.2	1419.4	1266.6	1860.6	1821.1	1576.2
1980	5	1252	1148.4	1071.2	1393.4	1403.2	1219.5	1154.6	936.8	1348.5	1366.3	1177.1
1980	6	1378	1234.1	1093	1351.3	1455.7	1243.2	1179.6	943.3	1200.7	1324.5	1137.7
1980	7	1117	975.9	824.6	985	1143.2	947.5	892.6	688.7	818.6	983.1	816.9
1980	8	689	586.9	471.3	568.6	697.5	554.2	516.7	382.5	457.6	568.3	462.3
1981	4	1188	1029.6	951.2	1344	1387.3	1142.6	1023.2	917.3	1397.4	1299.9	1137.4
1981	5	1404	1213.1	1103.3	1532.5	1619	1320.3	1186.1	1035.5	1529.1	1489.7	1289.6
1981	6	1051	898.4	795.2	1095.3	1183	956.9	866.8	727.7	1051.7	1073.1	913.2
1981	7	1147	972.9	834.8	1125.4	1250.6	1008.2	920.6	752.3	1035	1108	933.3
1981	8	741	626.5	525.6	681.7	790.4	630.6	584.8	473.3	607.9	677.4	571.5
1982	4	2402	2324.2	2200.8	2759	2654.2	2428.8	2250.5	2092.5	2759.5	2716.1	2386
1982	5	2332	2254.9	2104.2	2615.3	2565.8	2321.3	2155.1	1947.3	2586	2601.7	2245.4
1982	6	1673	1594.7	1460.1	1713.6	1757.8	1608.3	1488.6	1355.2	1633	1777	1507.2
1982	7	2262	2174	1962.8	2250.7	2339.6	2148	1991.1	1814.6	2087.4	2335.2	1964.4
1982	8	1695	1541.1	1212.4	1470.6	1758.4	1419.8	1243.3	946.4	1188.6	1459.1	1206.2
1983	4	2292	2122.3	2146.3	2717.1	2694.7	2412.9	2187.1	2096	2781.7	2749.9	2393.1
1983	5	2669	2471.3	2475.9	3068.9	3097.2	2780.1	2527.4	2377.7	3061.1	3135.9	2704.6
1983	6	3334	3056.1	2967.2	3506.4	3710.3	3291.2	2997.9	2667.6	3271.2	3616.8	3025.5
1983	7	3696	3219.1	2777.7	3159.5	3879.1	3154.5	2727.2	2202.8	2540.5	3282.9	2591
1983	8	3162	2665	2113.9	2438.1	3281.3	2496.1	2056.5	1516.8	1781.1	2536.7	1905.9
1984	4	2685	2469.1	2398.6	2929.9	2919.2	2666.4	2319.9	2162.8	2692.6	2743.7	2470
1984	5	1777	1624.3	1504.5	1826.7	1912.6	1683.7	1462.8	1259.7	1609.6	1714.1	1492.9
1984	6	1625	1461.4	1290.8	1567.1	1715.9	1473.8	1270.6	1034.4	1307	1472.6	1251.9
1984	7	1488	1300.5	1105.1	1329.1	1515.5	1290.2	1081.5	841.3	1034.9	1244.6	1029.2
1984	8	1086	930.3	760.5	912.5	1084.7	906	740.6	555.4	683.7	849	686.1
1985	4	1682	1503	1477.3	1947.4	1902.8	1649.5	1455.9	1399.3	1934.3	1803.7	1635.6
1985	5	1373	1227.8	1182.8	1565	1552.6	1327.5	1172.5	1092.9	1546.8	1456.6	1305.8
1985	6	1244	1097.2	1015.3	1345.4	1369.8	1158.5	1021.5	901.5	1225.9	1239.7	1092.9
1985	7	1518	1320.5	1153.8	1557.8	1657.8	1349.6	1174.4	971.4	1326.6	1421.8	1210.6
1985	8	798	692.9	593.7	782.9	864.1	692.8	607.7	503.8	655.3	720.7	615.7
1986	4	1102	1011.3	1010.2	1312.9	1233.5	1135.1	1011.2	1011	1372.1	1265.3	1136.9
1986	5	1176	1082.5	1075.2	1372.2	1299.7	1204.8	1074.3	1070	1431.7	1334	1198.4
1986	6	1457	1313	1162.3	1347.7	1463.1	1337.4	1232.1	1032.7	1268.6	1383.6	1230.6
1986	7	1023	910.9	778.3	869.7	994.7	893	824	671.4	821.2	881.4	799.1
1986	8	419	369.2	312.4	349.4	406	360.4	338.5	267.2	343	361.8	330.2
1987	4	1087	960.6	932.2	1349.3	1269.1	1059.5	976	844.9	1321.3	1241.1	1074.4
1987	5	1009	900.7	859.7	1240.1	1175.2	972.3	905.7	772.9	1199.8	1139.5	975.7
1987	6	797	700	653.8	919	900.2	748.1	699.1	594.3	866.8	864.7	734.1
1987	7	774	671.8	605.7	820.9	843.9	690.5	641.7	540.2	727.1	770	651.4
1987	8	383	333.7	298.3	387.9	408.6	333.6	313.9	271	340.2	366.7	312.6
1988	4	1073	876.6	877.2	1206.5	1247.6	1018.9	879.1	838.4	1195.4	1177.3	1033.9
1988	5	1187	973.6	925.1	1199.2	1327.3	1060.6	934.1	818	1116	1188.4	1012
1988	6	718	587.9	545	694.5	788.7	623.2	553.9	469.7	632.8	693.5	580.8
1988	7	514	423.5	384.2	476.8	551.9	437.3	395.3	331.4	428	484.8	400.3
1988	8	456	384.9	343.6	416	479	388.4	359.4	298.1	373.1	422.4	354.6
1989	4	1313	1107.3	1135.9	1512	1501.9	1286.1	1104.5	1049.4	1432.7	1490.5	1223.5
1989	5	1199	1007.4	1029.9	1376.4	1373.8	1170	1005	940.8	1297	1363.3	1107.8
1989	6	932	780.4	791.1	1065.5	1065.8	901.2	778.5	707.7	983.6	1059.4	843.2
1989	7	1393	1178.3	1101.7	1396.9	1503.7	1254.7	1098	951.1	1194.2	1341.2	1113.7
1989	8	744	631.2	554.1	686.5	773.5	637.3	573.5	489.1	574.3	658.2	558.5
1990	4	1071	969.8	892.8	1180.8	1239.5	1018.3	937.8	805.9	1186.5	1157.2	1005.2
1990	5	1156	1050.5	949.7	1241.8	1325.4	1078.5	1004.8	843.1	1205.1	1217.7	1048.3
1990	6	1085	986.1	870.4	1147.9	1243	991.5	931.3	754.2	1080.2	1122.9	948.7
1990	7	862	772.5	643.6	847.8	974.4	752.5	712.4	545.1	741.3	838.4	684.7
1990	8	513	460.8	380.5	476.9	572.2	441.6	430.4	331	410.7	487.6	398.6
1991	4	791	664.8	685.1	862.7	878.4	768.5	707	576.4	844.3	924	751.5
1991	5	701	592.4	610.4	763.4	775.7	681.1	629.5	513.2	747.9	821.2	666
1991	6	607	518	533.2	661	665.8	591.7	552.9	449.3	644.9	715	577.8
1991	7	971	872.9	819.9	1010.8	1087.5	924.6	897.7	686.4	935.8	1074.1	874
1991	8	578	527.6	477.4	579.3	645.5	539.8	531.7	400.6	525.1	618.9	501.5
1992	4	991	868.1	828.4	1211.2	1175.7	977.7	897.7	746.2	1164.9	1098.2	960.3
1992	5	879	775.3	734	1064.4	1039	861.4	798.8	650.5	1020	967.4	841.1
1992	6	961	845.1	776.3	1077.5	1092.8	903.7	846.3	687.2	987.1	987.1	859.6
1992	7	882	770	689.9	923	978.7	799.5	751.3	622.2	826.7	856.8	747
1992	8	554	489.9	445.7	560.6	600.9	500.2	479.8	411.3	507.7	531.7	474.2
1993	4	1622	1480.9	1409.3	1942.9	1899	1648.5	1527.9	1380.4	1911.8	1881.2	1703.4
1993	5	2630	2393.7	2287	3018	3066.7	2621.4	2420.1	2088.2	2829.2	2937.2	2584.9
1993	6	3048	2723	2550.6	3303.4	3446.3	2902.3	2666.5	2177.4	2781.7	3191.1	2730.3
1993	7	2421	2056.4	1821.4	2394	2614.8	2109.3	1883.3	1378.9	1699.1	2232.4	1816.8
1993	8	1736	1398.9	1150.8	1558.5	1849.6	1400.1	1211.1	823.3	1023.5	1428.3	1114.3
1994	4	1386	1231.3	1153.2	1704.3	1692.5	1342.1	1231.7	1062.3	1597.8	1506.2	1301.7
1994	5	1246	1114.3	1031.5	1514.1	1509.7	1193.5	1107.5	934.1	1411.1	1336.4	1149.2
1994	6	1376	1216.3	1098	1585.9	1627.2	1274.9	1189.2	975.2	1421.8	1407.9	1199.6
1994	7	1124	982.9	860.2	1189.8	1289.9	1004.4	944.4	762.7	1033.2	1091.5	915.9
1994	8	893	787.3	680.9	897.3	1003.2	785.4	760.1	613.6	786.7	850.3	719.7
1995	4	1224	1138.2	1186.9	1295.4	1377.9	1266.2	1143.8	1155.9	1328.6	1469.8	1240.7
1995	5	2365	2172	2125.1	2382.1	2564.4	2288.4	2072.4	1903.3	2208.2	2475.3	2089
1995	6	1562	1431.8	1366.8	1544.2	1669.1	1482.2	1340.5	1197.2	1386.5	1578.8	1317.6
1995	7	2517	2214.2	1953.2	2111.1	2594.9	2181.8	1910	1570.9	1718.3	2258.1	1818.5
1995	8	2112	1791.4	1490.9	1600.1	2152.6	1711.7	1465.5	1105.8	1191.8	1747.6	1351.9
1996	4	1412	1276.8	1208	1638.7	1669.8	1397.4	1287	1090.9	1633	1623.5	1377.2
1996	5	1766	1599.1	1493.8	2014.6	2081.1	1731	1600.4	1319.3	1989.2	2007.5	1685.5
1996	6	1644	1468.2	1334.2	1650	1836.3	1529.9	1422.1	1175.2	1540.3	1709.3	1430.4
1996	7	1386	1215.4	1073.8	1266.1	1521.2	1237.6	1137	939.2	1139.8	1363.7	1113.1
1996	8	1062	926.1	783.3	918.5	1161	922.8	851.6	671	796.8	995.2	809.2
1997	4	2465	2355	2217.5	2679	2761.3	2548.5	2225.7	2320.4	2769.3	2718.5	2574.1
1997	5	1978	1860.1	1662.1	1894	2083.8	1868.7	1713.7	1589.8	1812.5	1935.3	1784.2
1997	6	988	913.8	764.5	859.7	1007.1	870.8	792.3	670.9	754.5	868.7	769.8
1997	7	703	642.3	520.5	579.8	697.5	598.8	544.6	448.9	500.8	590	515.4
1997	8	346	313.2	249.9	278.7	339.9	289.7	266.4	215.1	236.9	285.7	246.7
1998	4	1614	1486.4	1445	1857	1925.9	1674.9	1540.9	1466.5	1970.3	1922.8	1704.1
1998	5	2190	2006	1919.9	2457.3	2578	2222.2	2077.1	1901.5	2539.9	2528.7	2199.1
1998	6	3070	2760.4	2471.7	3104.9	3470.4	2852.9	2703.3	2227.8	2757.2	3180.9	2648.3
1998	7	3036	2653.7	2279.4	2839.8	3382.2	2667.4	2489.2	1920.7	2289.2	2910.9	2336.5
1998	8	2550	2190.1	1778.7	2261.8	2828.5	2146.6	1955.3	1412.1	1671.5	2268.9	1778
1999	4	1485	1338.4	1314.5	1803.1	1716.1	1501.3	1360.8	1204.2	1891	1713.6	1494
1999	5	1514	1372.7	1330	1796.2	1732.7	1517	1389.2	1190	1879.6	1733.6	1498.2
1999	6	1920	1710.5	1545.8	1995.7	2058.7	1766.9	1636.5	1329.7	1834.4	1912.6	1648.3
1999	7	1642	1414.7	1193.7	1525.6	1693.4	1387	1266.9	984.1	1266.4	1446.6	1211.9
1999	8	1109	934.2	747	973.6	1130.7	894.3	785.6	585.3	761.6	907.8	738.7
2000	4	1210	1096.6	1055	1504.2	1440.8	1256.1	1132.4	1038.3	1614.7	1466.8	1271.8
2000	5	1595	1454	1389.9	1954.2	1888.9	1650.1	1498.3	1341.9	2076.5	1914.7	1654.7
2000	6	2208	1983.4	1790.3	2333.4	2415.5	2068.3	1925.3	1607	2193.7	2280.3	1958
2000	7	1790	1554.4	1312.4	1633	1864.6	1515.9	1401.2	1087.1	1346.8	1590.1	1317
2000	8	1235	1061.3	875	1084.4	1280.2	1024.7	942.3	738.4	890.9	1054.5	875.8
2001	4	1009	880	848	1233.7	1195.3	976.3	878.6	753.8	1187.8	1098.3	972.3
2001	5	921	813.9	773.8	1116.6	1084.6	882.7	805.8	681.1	1069.5	991.9	874.1
2001	6	1001	883.3	821.7	1171.7	1145.4	933.1	858	711.4	1072.3	1035.8	907.8
2001	7	836	733.8	668.7	915.9	926.8	753.6	697.9	583.7	814	822.9	716.4
2001	8	585	515.4	467.6	621.8	642	523.4	485.8	416.5	549.1	562.3	495
2002	4	1861	1506.8	1574.6	2244.2	2185.3	1830.3	1512.9	1514.8	2066.4	2012.7	1803.4
2002	5	1623	1303.4	1300.4	1774.5	1842.9	1516.2	1260.4	1177.5	1586.7	1618	1436.3
2002	6	1260	998.1	956.4	1300.3	1399.1	1131.5	935.9	821.7	1100.4	1186.7	1023.9
2002	7	1333	1028	930.6	1261.3	1445.6	1131.4	922.2	767.9	992.5	1151.5	956.5
2002	8	826	647.7	577.3	751.4	876.9	692.9	586.6	488.9	601.5	705	591.8
2003	4	2440	2186.3	2114.9	2723.1	2711.7	2502.8	1993.3	2117.3	2659.8	2580.1	2331.1
2003	5	2074	1857.8	1737.9	2130.7	2235.4	2041.3	1645.8	1655.4	2013.3	2060.3	1841.1
2003	6	1587	1425.2	1304.7	1569.5	1674.9	1531.2	1245.4	1222.2	1462.6	1537.3	1359.6
2003	7	1713	1552.5	1403.5	1635.1	1779.5	1631	1334.6	1298.9	1505	1637.2	1423.2
2003	8	2185	1972.9	1744.7	2004	2229.2	2025.4	1667.3	1569.5	1807.2	2030.2	1733.5
