!Extension to 2003 C.Quan-DWR												
feather_runoff_forecast												
wateryear	month	frcst_fea_0	frcst_fea_1	frcst_fea_2	frcst_fea_3	frcst_fea_4	frcst_fea_5	frcst_fea_6	frcst_fea_7	frcst_fea_8	frcst_fea_9	frcst_fea_10
1955	5	1295	1042.7	1072	1434.2	1536.7	1227.4	1030.4	1016.9	1392	1440.9	1209.6
1955	6	1118	888.3	903.6	1184.7	1313.8	1029.2	856.7	812.7	1114.1	1199.2	984.9
1955	7	944	736.7	734.6	948.4	1096.8	835.9	692.6	630.5	846.5	970.2	771.1
1955	8	948	729.5	704.8	899	1105.1	807.9	661.7	582.4	767.8	922.1	722.6
1956	4	1732	1634.2	1515.2	1974.2	1963.2	1746.3	1566.1	1529.6	2005.6	1905.3	1725.1
1956	5	2071	1957.7	1722.6	2160.4	2289.2	1981.4	1819.5	1576.4	2034	2090.2	1834.5
1956	6	2457	2330	1954.3	2419.1	2672.2	2236.5	2078.8	1663.7	2042	2331.1	1956
1956	7	1735	1627.9	1282.5	1600.2	1863.2	1488.4	1371.8	1017.8	1214.3	1534	1219.6
1956	8	917	843.1	637.9	789.8	972	755.1	684.4	482.2	573.7	773.5	594.7
1957	4	1284	1148.7	1053.9	1512.2	1534	1250.5	1181.1	944.3	1497.2	1429.8	1218.7
1957	5	1331	1196.9	1096.2	1541.8	1596.5	1292.8	1225.7	962.7	1507	1473.8	1248.6
1957	6	1230	1084.9	983.2	1290.6	1402.3	1151	1098.6	875.6	1226.3	1287.4	1091.9
1957	7	997	869.9	766.2	955.9	1110.8	902.8	864.3	679.4	879.1	994.6	832.6
1957	8	734	638.3	550.3	671.8	817.5	653.3	626.6	486.7	604.1	715.4	589.4
1958	4	1260	1131.7	1095.4	1438.1	1468.7	1278.7	1143.3	1010.1	1563.5	1538.6	1281.3
1958	5	1448	1301.9	1249.2	1633.6	1681.8	1459.8	1305.8	1138.9	1773.1	1759.5	1451.8
1958	6	1635	1448.6	1329.8	1616.6	1781.8	1530.9	1394	1182	1592.5	1768.1	1454.4
1958	7	2209	1940.6	1711.8	2023.8	2380.2	1972.8	1802.8	1465.7	1858.8	2220.2	1791.5
1958	8	1610	1394.4	1129	1354.3	1731.2	1332.8	1210.2	868.7	1080.5	1429.1	1102
1959	4	1210	1131.5	1011.5	1501.5	1423.4	1213.6	1145.3	897.2	1545.3	1352.7	1196.8
1959	5	1296	1228.4	1087.5	1572.8	1510.5	1287	1238.7	941.1	1570.3	1430.6	1250.2
1959	6	1525	1420.1	1212.6	1678.6	1703.7	1434.6	1379.2	1031.8	1530.6	1548.6	1340.2
1959	7	1220	1127.8	939.7	1281.6	1332.1	1116.5	1079.3	796.9	1139.8	1195.5	1023
1959	8	704	648.8	536	705.3	755.5	629.7	618.9	463.1	622	675.5	573.1
1960	4	791	750	674.1	935	906.8	791.5	769.9	586.6	979.1	919.4	788.5
1960	5	899	856.3	759.1	1033.8	1027.3	888.7	868.9	641.8	1051.9	1026.1	865.5
1960	6	846	777.2	660.1	848.3	895.5	778.1	749.1	577.7	809.4	874.3	738.5
1960	7	956	855.8	711.3	887.2	987.4	837.1	801	607.3	793.9	905.9	756.2
1960	8	522	458.6	379.3	457.4	528.4	441	425.6	326.5	404.5	470.5	393.3
1961	4	1290	1116	1076.8	1483	1501.7	1231.8	1083.3	985.9	1411.3	1374.5	1178.5
1961	5	1230	1068.2	1010.8	1391.4	1431	1158.5	1027.9	909.6	1326.7	1298.5	1103.5
