! New Baselines version (Feb 2010)
! 2030 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2030_022510.xls
AnnualReqDel_swp
Year             AG               MWD              OTH              LOSS             Total
             1921           1017.1           1911.5           1240.2             64.5           4233.3
             1922           1017.1           1911.5           1240.2             64.5           4233.3
             1923           1017.1           1911.5           1240.2             64.5           4233.3
             1924           1017.1           1911.5           1240.2             64.5           4233.3
             1925           1017.1           1911.5           1240.2             64.5           4233.3
             1926           1017.1           1911.5           1240.2             64.5           4233.3
             1927           1017.1           1911.5           1240.2             64.5           4233.3
             1928           1017.1           1911.5           1240.2             64.5           4233.3
             1929           1017.1           1911.5           1240.2             64.5           4233.3
             1930           1017.1           1911.5           1240.2             64.5           4233.3
             1931           1017.1           1911.5           1240.2             64.5           4233.3
             1932           1017.1           1911.5           1240.2             64.5           4233.3
             1933           1017.1           1911.5           1240.2             64.5           4233.3
             1934           1017.1           1911.5           1240.2             64.5           4233.3
             1935           1017.1           1911.5           1240.2             64.5           4233.3
             1936           1017.1           1911.5           1240.2             64.5           4233.3
             1937           1017.1           1911.5           1240.2             64.5           4233.3
             1938           1017.1           1911.5           1240.2             64.5           4233.3
             1939           1017.1           1911.5           1240.2             64.5           4233.3
             1940           1017.1           1911.5           1240.2             64.5           4233.3
             1941           1017.1           1911.5           1240.2             64.5           4233.3
             1942           1017.1           1911.5           1240.2             64.5           4233.3
             1943           1017.1           1911.5           1240.2             64.5           4233.3
             1944           1017.1           1911.5           1240.2             64.5           4233.3
             1945           1017.1           1911.5           1240.2             64.5           4233.3
             1946           1017.1           1911.5           1240.2             64.5           4233.3
             1947           1017.1           1911.5           1240.2             64.5           4233.3
             1948           1017.1           1911.5           1240.2             64.5           4233.3
             1949           1017.1           1911.5           1240.2             64.5           4233.3
             1950           1017.1           1911.5           1240.2             64.5           4233.3
             1951           1017.1           1911.5           1240.2             64.5           4233.3
             1952           1017.1           1911.5           1240.2             64.5           4233.3
             1953           1017.1           1911.5           1240.2             64.5           4233.3
             1954           1017.1           1911.5           1240.2             64.5           4233.3
             1955           1017.1           1911.5           1240.2             64.5           4233.3
             1956           1017.1           1911.5           1240.2             64.5           4233.3
             1957           1017.1           1911.5           1240.2             64.5           4233.3
             1958           1017.1           1911.5           1240.2             64.5           4233.3
             1959           1017.1           1911.5           1240.2             64.5           4233.3
             1960           1017.1           1911.5           1240.2             64.5           4233.3
             1961           1017.1           1911.5           1240.2             64.5           4233.3
             1962           1017.1           1911.5           1240.2             64.5           4233.3
             1963           1017.1           1911.5           1240.2             64.5           4233.3
             1964           1017.1           1911.5           1240.2             64.5           4233.3
             1965           1017.1           1911.5           1240.2             64.5           4233.3
             1966           1017.1           1911.5           1240.2             64.5           4233.3
             1967           1017.1           1911.5           1240.2             64.5           4233.3
             1968           1017.1           1911.5           1240.2             64.5           4233.3
             1969           1017.1           1911.5           1240.2             64.5           4233.3
             1970           1017.1           1911.5           1240.2             64.5           4233.3
             1971           1017.1           1911.5           1240.2             64.5           4233.3
             1972           1017.1           1911.5           1240.2             64.5           4233.3
             1973           1017.1           1911.5           1240.2             64.5           4233.3
             1974           1017.1           1911.5           1240.2             64.5           4233.3
             1975           1017.1           1911.5           1240.2             64.5           4233.3
             1976           1017.1           1911.5           1240.2             64.5           4233.3
             1977           1017.1           1911.5           1240.2             64.5           4233.3
             1978           1017.1           1911.5           1240.2             64.5           4233.3
             1979           1017.1           1911.5           1240.2             64.5           4233.3
             1980           1017.1           1911.5           1240.2             64.5           4233.3
             1981           1017.1           1911.5           1240.2             64.5           4233.3
             1982           1017.1           1911.5           1240.2             64.5           4233.3
             1983           1017.1           1911.5           1240.2             64.5           4233.3
             1984           1017.1           1911.5           1240.2             64.5           4233.3
             1985           1017.1           1911.5           1240.2             64.5           4233.3
             1986           1017.1           1911.5           1240.2             64.5           4233.3
             1987           1017.1           1911.5           1240.2             64.5           4233.3
             1988           1017.1           1911.5           1240.2             64.5           4233.3
             1989           1017.1           1911.5           1240.2             64.5           4233.3
             1990           1017.1           1911.5           1240.2             64.5           4233.3
             1991           1017.1           1911.5           1240.2             64.5           4233.3
             1992           1017.1           1911.5           1240.2             64.5           4233.3
             1993           1017.1           1911.5           1240.2             64.5           4233.3
             1994           1017.1           1911.5           1240.2             64.5           4233.3
             1995           1017.1           1911.5           1240.2             64.5           4233.3
             1996           1017.1           1911.5           1240.2             64.5           4233.3
             1997           1017.1           1911.5           1240.2             64.5           4233.3
             1998           1017.1           1911.5           1240.2             64.5           4233.3
             1999           1017.1           1911.5           1240.2             64.5           4233.3
             2000           1017.1           1911.5           1240.2             64.5           4233.3
             2001           1017.1           1911.5           1240.2             64.5           4233.3
             2002           1017.1           1911.5           1240.2             64.5           4233.3
             2003           1017.1           1911.5           1240.2             64.5           4233.3
