clair_level
month   storage level
    1    0        0
    1    700      1
    1    1200     2
    1    1550     3
    1    1975     4
    1    9999     5
    2    0        0
    2    700      1
    2    1200     2
    2    1550     3
    2    1975     4
    2    9999     5
    3    0        0
    3    700      1
    3    1200     2
    3    1550     3
    3    2000     4
    3    9999     5
    4    0        0
    4    700      1
    4    1200     2
    4    1600     3
    4    2000     4
    4    9999     5
    5    0        0
    5    750      1
    5    1250     2
    5    1650     3
    5    2050     4
    5    9999     5
    6    0        0
    6    750      1
    6    1250     2
    6    1700     3
    6    2100     4
    6    9999     5
    7    0        0
    7    800      1
    7    1300     2
    7    1800     3
    7    2200     4
    7    9999     5
    8    0        0
    8    800      1
    8    1300     2
    8    1800     3
    8    2200     4
    8    9999     5
    9    0        0
    9    750      1
    9    1250     2
    9    1650     3
    9    2050     4
    9    9999     5
   10    0        0
   10    700      1
   10    1200     2
   10    1550     3
   10    1975     4
   10    9999     5
   11    0        0
   11    700      1
   11    1200     2
   11    1550     3
   11    1975     4
   11    9999     5
   12    0        0
   12    700      1
   12    1200     2
   12    1550     3
   12    1975     4
   12    9999     5
