CVP_RF_Split                
Node    Contr   Month   RF1_Pct RF2_Pct
701 15  11  1.00    0.00
701 15  12  1.00    0.00
706 1   1   1.00    0.00
706 1   2   1.00    0.00
706 1   3   1.00    0.00
706 1   4   1.00    0.00
706 1   5   1.00    0.00
706 1   6   1.00    0.00
706 1   7   1.00    0.00
706 1   8   1.00    0.00
706 1   9   1.00    0.00
706 1   10  1.00    0.00
706 1   11  1.00    0.00
706 1   12  1.00    0.00
706 2   1   1.00    0.00
706 2   2   1.00    0.00
706 2   3   1.00    0.00
706 2   4   1.00    0.00
706 2   5   1.00    0.00
706 2   6   1.00    0.00
706 2   7   1.00    0.00
706 2   8   1.00    0.00
706 2   9   1.00    0.00
706 2   10  1.00    0.00
706 2   11  1.00    0.00
706 2   12  1.00    0.00
706 3   1   1.00    0.00
706 3   2   1.00    0.00
706 3   3   1.00    0.00
706 3   4   1.00    0.00
706 3   5   1.00    0.00
706 3   6   1.00    0.00
706 3   7   1.00    0.00
706 3   8   1.00    0.00
706 3   9   1.00    0.00
706 3   10  1.00    0.00
706 3   11  1.00    0.00
706 3   12  1.00    0.00
706 4   1   1.00    0.00
706 4   2   1.00    0.00
706 4   3   1.00    0.00
706 4   4   1.00    0.00
706 4   5   1.00    0.00
706 4   6   1.00    0.00
706 4   7   1.00    0.00
706 4   8   1.00    0.00
706 4   9   1.00    0.00
706 4   10  1.00    0.00
706 4   11  1.00    0.00
706 4   12  1.00    0.00
706 5   1   1.00    0.00
706 5   2   1.00    0.00
706 5   3   1.00    0.00
706 5   4   1.00    0.00
706 5   5   1.00    0.00
706 5   6   1.00    0.00
706 5   7   1.00    0.00
706 5   8   1.00    0.00
706 5   9   1.00    0.00
706 5   10  1.00    0.00
706 5   11  1.00    0.00
706 5   12  1.00    0.00
706 6   1   1.00    0.00
706 6   2   1.00    0.00
706 6   3   1.00    0.00
706 6   4   1.00    0.00
706 6   5   1.00    0.00
706 6   6   1.00    0.00
706 6   7   1.00    0.00
706 6   8   1.00    0.00
706 6   9   1.00    0.00
706 6   10  1.00    0.00
706 6   11  1.00    0.00
706 6   12  1.00    0.00
706 7   1   1.00    0.00
706 7   2   1.00    0.00
706 7   3   1.00    0.00
706 7   4   1.00    0.00
706 7   5   1.00    0.00
706 7   6   1.00    0.00
706 7   7   1.00    0.00
706 7   8   1.00    0.00
706 7   9   1.00    0.00
706 7   10  1.00    0.00
706 7   11  1.00    0.00
706 7   12  1.00    0.00
706 8   1   1.00    0.00
706 8   2   1.00    0.00
706 8   3   1.00    0.00
706 8   4   1.00    0.00
706 8   5   1.00    0.00
706 8   6   1.00    0.00
706 8   7   1.00    0.00
706 8   8   1.00    0.00
706 8   9   1.00    0.00
706 8   10  1.00    0.00
706 8   11  1.00    0.00
706 8   12  1.00    0.00
707 1   1   0.07    0.93
707 1   2   0.07    0.93
707 1   3   0.07    0.93
707 1   4   0.07    0.93
707 1   5   0.07    0.93
707 1   6   0.07    0.93
707 1   7   0.07    0.93
707 1   8   0.07    0.93
707 1   9   0.07    0.93
707 1   10  0.07    0.93
707 1   11  0.07    0.93
707 1   12  0.07    0.93
6071    1   1   1.00    0.00
6071    1   2   1.00    0.00
6071    1   3   1.00    0.00
6071    1   4   1.00    0.00
6071    1   5   1.00    0.00
6071    1   6   1.00    0.00
6071    1   7   1.00    0.00
6071    1   8   1.00    0.00
6071    1   9   1.00    0.00
6071    1   10  1.00    0.00
6071    1   11  1.00    0.00
6071    1   12  1.00    0.00
6071    2   1   1.00    0.00
6071    2   2   1.00    0.00
6071    2   3   1.00    0.00
6071    2   4   1.00    0.00
6071    2   5   1.00    0.00
6071    2   6   1.00    0.00
6071    2   7   1.00    0.00
6071    2   8   1.00    0.00
6071    2   9   1.00    0.00
6071    2   10  1.00    0.00
6071    2   11  1.00    0.00
6071    2   12  1.00    0.00
6071    3   1   1.00    0.00
6071    3   2   1.00    0.00
6071    3   3   1.00    0.00
6071    3   4   1.00    0.00
6071    3   5   1.00    0.00
6071    3   6   1.00    0.00
6071    3   7   1.00    0.00
6071    3   8   1.00    0.00
6071    3   9   1.00    0.00
6071    3   10  1.00    0.00
6071    3   11  1.00    0.00
6071    3   12  1.00    0.00
6071    4   1   1.00    0.00
6071    4   2   1.00    0.00
6071    4   3   1.00    0.00
6071    4   4   1.00    0.00
6071    4   5   1.00    0.00
6071    4   6   1.00    0.00
6071    4   7   1.00    0.00
6071    4   8   1.00    0.00
6071    4   9   1.00    0.00
6071    4   10  1.00    0.00
6071    4   11  1.00    0.00
6071    4   12  1.00    0.00
6071    5   1   1.00    0.00
6071    5   2   1.00    0.00
6071    5   3   1.00    0.00
6071    5   4   1.00    0.00
6071    5   5   1.00    0.00
6071    5   6   1.00    0.00
6071    5   7   1.00    0.00
6071    5   8   1.00    0.00
6071    5   9   1.00    0.00
6071    5   10  1.00    0.00
6071    5   11  1.00    0.00
