!Nov 20, 1997 Flow-Trigger Relationships
AFRP_SAC_NOV1997
month           trigger         flow
1               0               3250
1               2200            3500
1               2300            3750
1               2400            4000
1               2500            4250
1               2600            4500
1               2700            4750
1               2800            5000
1               2900            5250
1               3000            5500
1               5188            5500
2               0               3250
2               2200            3500
2               2300            3750
2               2400            4000
2               2500            4250
2               2600            4500
2               2700            4750
2               2800            5000
2               2900            5250
2               3000            5500
2               5188            5500
3               0               3250
3               2200            3500
3               2300            3750
3               2400            4000
3               2500            4250
3               2600            4500
3               2700            4750
3               2800            5000
3               2900            5250
3               3000            5500
3               5188            5500
4               0               3250
4               1500            3500
4               2000            3750
4               2600            4000
4               2700            4250
4               2800            4500
4               2900            4750
4               3000            5000
4               3100            5250
4               3200            5500
4               5188            5500
5               0               3250
5               1750            3500
5               2200            3750
5               2700            4000
5               2800            4250
5               2900            4500
5               3000            4750
5               3100            5000
5               3200            5250
5               3300            5500
5               5188            5500
6               0               3250
6               2000            3500
6               2400            3750
6               3000            4000
6               3050            4250
6               3100            4500
6               3150            4750
6               3200            5000
6               3300            5250
6               3400            5500
6               5188            5500
7               0               3250
7               2000            3500
7               2400            3750
7               3200            4000
7               3300            4250
7               3400            4500
7               3500            4750
7               3600            5000
7               3700            5250
7               3800            5500
7               5188            5500
8               0               3250
8               5188            3250
9               0               3250
9               5188            3250
10              0               3250
10              5188            3250
11              0               3250
11              5188            3250
12              0               4500
12              2000            6000
12              5188            6000
