! Nov 20, 1997 Stability Criteria for Sacramento River below Keswick
SacStability_NOV1997
month   StabFlow  fraction
1       6000.0       0.0
2       6000.0       0.90
3       6000.0       0.90
4       6000.0       0.80
5       6000.0       0.90
6       6000.0       0.90
7       6000.0       0.90
8       6000.0       0.0
9       6000.0       0.0
10      6000.0       0.0
11      6000.0       0.0
12      6000.0       0.0
