! Roe Trigger as a function of WYT per BDCP 08/18/2008
x2_BDCP
month	WYT	 X2TGT
1	1	 999.0
1	2	 999.0
1	3	 999.0
1	4	 999.0
1	5	 999.0
2	1	 999.0
2	2	 999.0
2	3	 999.0
2	4	 999.0
2	5	 999.0
3	1	 66.3
3	2	 66.3
3	3	 66.3
3	4	 66.3
3	5	 66.3
4	1	 66.3
4	2	 66.3
4	3	 66.3
4	4	 66.3
4	5	 66.3
5	1	 65.00
5	2	 70.00
5	3	 72.00
5	4	 75.00
5	5	 81.00
6	1	 65.00
6	2	 70.00
6	3	 72.00
6	4	 75.00
6	5	 81.00
7	1	 65.00
7	2	 70.00
7	3	 72.00
7	4	 75.00
7	5	 81.00
8	1	 65.00
8	2	 70.00
8	3	 72.00
8	4	 75.00
8	5	 81.00
9	1	 65.00
9	2	 70.00
9	3	 74.00
9	4	 77.00
9	5	 81.00
10	1	 66.30
10	2	 66.30
10	3	 66.30
10	4	 66.30
10	5	 66.30
11	1	 66.30
11	2	 66.30
11	3	 66.30
11	4	 66.30
11	5	 66.30
12	1	 999.00
12	2	 999.00
12	3	 999.00
12	4	 999.00
12	5	 999.00

