! New Baselines version (Feb 2010)
! 2030 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2030_022510.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
                1                4              100             4.94            50.32
                1                5              100             4.57            45.38
                1                6              100             4.76            40.81
                1                7              100             4.86            36.04
                1                8              100             5.30            31.18
                1                9              100             3.47            25.89
                1               10              100             2.52            22.42
                1               11              100             1.53            19.90
                1               12              100             4.81            18.37
                1                1              100             5.08            13.56
                1                2              100             4.36             8.49
                1                3              100             4.13             4.13
                2                4              100             0.01            28.08
                2                5              100             0.05            28.07
                2                6              100             0.08            28.02
                2                7              100             1.31            27.94
                2                8              100             2.89            26.63
                2                9              100             5.18            23.75
                2               10              100             5.08            18.57
                2               11              100             5.05            13.49
                2               12              100             4.06             8.44
                2                1              100             2.74             4.38
                2                2              100             1.53             1.64
                2                3              100             0.11             0.11
                3                4              100             3.24            42.00
                3                5              100             2.98            38.76
                3                6              100             3.24            35.78
                3                7              100             3.15            32.54
                3                8              100             4.16            29.38
                3                9              100             4.22            25.22
                3               10              100             4.62            21.00
                3               11              100             4.62            16.38
                3               12              100             3.64            11.76
                3                1              100             3.70             8.12
                3                2              100             2.19             4.41
                3                3              100             2.23             2.23
                4                4              100             7.03           141.40
                4                5              100             7.15           134.37
                4                6              100             8.27           127.22
                4                7              100            15.27           118.94
                4                8              100            14.40           103.68
                4                9              100            15.55            89.28
                4               10              100            15.55            73.73
                4               11              100            15.55            58.17
                4               12              100            13.78            42.62
                4                1              100            12.75            28.84
                4                2              100             8.28            16.09
                4                3              100             7.81             7.81
                5                4              100             0.69            12.70
                5                5              100             0.46            12.01
                5                6              100             0.69            11.55
                5                7              100             0.92            10.85
                5                8              100             1.15             9.93
                5                9              100             1.39             8.77
                5               10              100             1.62             7.39
                5               11              100             1.62             5.77
                5               12              100             1.39             4.16
                5                1              100             1.15             2.77
                5                2              100             0.92             1.62
                5                3              100             0.69             0.69
                6                4              100             4.78            82.50
                6                5              100             3.29            77.72
                6                6              100             4.79            74.43
                6                7              100             6.29            69.65
                6                8              100             7.79            63.36
                6                9              100             9.29            55.57
                6               10              100             9.08            46.29
