! Pumping limits in cfs
TuolGWPUMP
month   min548pag   min548prv   max548pag   min532pag   min532prv   max532pag
1       130         64          130         33          16          33
2       0           0           0           0           0           0
3       0           0           0           0           0           0
4       0           0           0           0           0           0
5       0           0           0           0           0           0
6       24          68          98          16          16          16
7       109         121         168         42          34          42
8       138         195         244         41          49          98
9       168         252         286         42          67          101
10      195         273         276         49          65          114
11      179         234         244         49          65          114
12      168         110         202         34          34          34


