!  Black Butte Lake Apr-Sep Inflow Estimate (forecast),
!  Estimated Unimpaired Apr-Sep flows,
!  Stony Creek below Black Butte Dam.
apr_sep_inflow_nat
wateryear   apr_sep
1921	64
1922	104
1923	51
1924	2
1925	168
1926	85
1927	90
1928	82
1929	21
1930	44
1931	10
1932	50
1933	56
1934	18
1935	128
1936	65
1937	104
1938	212
1939	15
1940	88
1941	289
1942	189
1943	59
1944	69
1945	50
1946	30
1947	22
1948	135
1949	87
1950	77
1951	75
1952	161
1953	116
1954	118
1955	51
1956	120
1957	113
1958	237
1959	29
1960	43
1961	46
1962	65
1963	205
1964	17
1965	140
1966	62
1967	178
1968	31
1969	147
1970	33
1971	78
1972	33
1973	88
1974	141
1975	126
1976	18
1977	2
1978	100
1979	59
1980	59
1981	32
1982	241
1983	290
1984	32
1985	28
1986	49
1987	12
1988	14
1989	31
1990	15
1991	40
1992	56
1993	93
1994	9
1995	180
1996	93
1997	20
1998	303
1999	108
2000	67
2001	22
2002	26
2003	118

