FRE_Notch
Sac_Flow	Spill
0	0
15530	0
17819	100
19068	250
20317	500
22190	1000
24479	2000
26352	3000
27809	4000
28850	5000
30098	6000
30931	6000
31763	6000
32596	6000
33220	6000
50000	6000
54273	6000
64273	14618
74273	23237
84273	31855
94273	40474
104273	49092
114273	57710
124273	66329
134273	74947
144273	83566
154273	92184
164273	100802
174273	109421
184273	118039
194273	126658
204273	135276
214273	143894
224273	152513
234273	161131
244273	169750
254273	178368
264273	186986
274273	195605
284273	204223
294273	212842
304273	221460
314273	230078
324273	238697
334273	247315
344273	255934
354273	264552
364273	273170
374273	281789
384273	290407
394273	299026
404273	307644
414273	316262
424273	324881
434273	333499
444273	342118
454273	350000
460381	350000
999999	350000



