!swp_3_tablea_for_WSIDI_training
! output file swp_3_tablea_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_102209.xls
swp_3_tablea
contractor    percent TableA
       1     100   19.23
       2     100   21.08
       3     100   38.00
       4     100   70.70
       5     100   12.70
       6     100   41.25
       7     100    4.80
       8     100   60.55
       9     100   27.50
      10     100    9.31
      11     100    2.90
      12     100   25.00
      13     100   54.84
      14     100    3.00
      15     100  134.60
      16     100  605.28
      17     100   87.19
      18     100   53.06
      19     100   70.29
      20     100    2.30
      21     100  347.64
      22     100   53.48
      23     100  231.20
      24     100  867.53
      25     100  211.65
      26     100   37.90
      27     100   11.60
      28     100    5.30
      29     100   14.22
      30     100   71.88
      31     100   28.80
      32     100   17.30
      33     100   25.00
      34     100   30.64
      35     100   65.44
      36     100   23.73
      37     100   95.92
      38     100    2.81
      39     100   17.19
       1      50   19.23
       2      50   21.08
       3      50   38.00
       4      50   70.70
       5      50   12.70
       6      50   41.25
       7      50    4.80
       8      50   60.55
       9      50   27.50
      10      50    9.31
      11      50    2.90
      12      50   25.00
      13      50   54.84
      14      50    3.00
      15      50  134.60
      16      50  605.28
      17      50   87.19
      18      50   53.06
      19      50   70.29
      20      50    2.30
      21      50  347.64
      22      50   53.48
      23      50  231.20
      24      50  867.53
      25      50  211.65
      26      50   37.90
      27      50   11.60
      28      50    5.30
      29      50   14.22
      30      50   71.88
      31      50   28.80
      32      50   17.30
      33      50   25.00
      34      50   30.64
      35      50   65.44
      36      50   23.73
      37      50   95.92
      38      50    2.81
      39      50   17.19
       1      30   19.23
       2      30   21.08
       3      30   38.00
       4      30   70.70
       5      30   12.70
       6      30   41.25
       7      30    4.80
       8      30   60.55
       9      30   27.50
      10      30    9.31
      11      30    2.90
      12      30   25.00
      13      30   54.84
      14      30    3.00
      15      30  134.60
      16      30  605.28
      17      30   87.19
      18      30   53.06
      19      30   70.29
      20      30    2.30
      21      30  347.64
      22      30   53.48
      23      30  231.20
      24      30  867.53
      25      30  211.65
      26      30   37.90
      27      30   11.60
      28      30    5.30
      29      30   14.22
      30      30   71.88
      31      30   28.80
      32      30   17.30
      33      30   25.00
      34      30   30.64
      35      30   65.44
      36      30   23.73
      37      30   95.92
      38      30    2.81
      39      30   17.19
