!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
                1                4              100             0.00            25.56
                1                5              100             0.00            25.56
                1                6              100             0.54            25.56
                1                7              100             1.51            25.02
                1                8              100             2.09            23.51
                1                9              100             3.12            21.42
                1               10              100             2.84            18.30
                1               11              100             3.05            15.46
                1               12              100             3.68            12.41
                1                1              100             3.61             8.73
                1                2              100             2.72             5.11
                1                3              100             2.39             2.39
                2                4              100             0.00            22.98
                2                5              100             0.10            22.98
                2                6              100             0.55            22.88
                2                7              100             0.49            22.33
                2                8              100             0.74            21.84
                2                9              100             1.79            21.11
                2               10              100             3.05            19.32
                2               11              100             4.09            16.27
                2               12              100             4.29            12.18
                2                1              100             3.59             7.90
                2                2              100             2.12             4.31
                2                3              100             2.19             2.19
                3                4              100             1.04            39.50
                3                5              100             1.63            38.46
                3                6              100             2.00            36.83
                3                7              100             2.48            34.83
                3                8              100             3.51            32.35
                3                9              100             4.74            28.84
                3               10              100             4.62            24.11
                3               11              100             4.62            19.49
                3               12              100             4.73            14.87
                3                1              100             4.41            10.14
                3                2              100             2.66             5.73
                3                3              100             3.07             3.07
                4                4              100             0.00            73.59
                4                5              100             0.00            73.59
                4                6              100             1.20            73.59
                4                7              100             6.87            72.39
                4                8              100             9.07            65.52
                4                9              100             9.79            56.45
                4               10              100            11.45            46.66
                4               11              100            10.93            35.21
                4               12              100             8.05            24.28
                4                1              100             7.16            16.23
                4                2              100             4.58             9.07
                4                3              100             4.49             4.49
                5                4              100             1.35            12.70
                5                5              100             1.99            11.35
                5                6              100             1.99             9.36
                5                7              100             0.08             7.37
                5                8              100             0.08             7.28
                5                9              100             0.08             7.20
                5               10              100             0.08             7.11
                5               11              100             0.08             7.03
                5               12              100             0.08             6.94
                5                1              100             2.29             6.86
                5                2              100             2.29             4.57
                5                3              100             2.29             2.29
                6                4              100             0.97            41.25
                6                5              100             0.80            40.28
                6                6              100             1.63            39.49
                6                7              100             3.11            37.86
                6                8              100             3.61            34.75
                6                9              100             4.78            31.14
                6               10              100             5.75            26.36
                6               11              100             5.79            20.62
                6               12              100             5.11            14.83
                6                1              100             4.04             9.71
                6                2              100             3.11             5.68
                6                3              100             2.56             2.56
                7                4              100             0.41             9.60
                7                5              100             0.41             9.19
                7                6              100             0.41             8.78
                7                7              100             1.34             8.38
                7                8              100             1.40             7.04
                7                9              100             1.06             5.64
                7               10              100             1.06             4.58
                7               11              100             1.06             3.53
                7               12              100             1.18             2.47
                7                1              100             0.47             1.29
                7                2              100             0.41             0.82
                7                3              100             0.41             0.41
                8                4              100             2.12            33.00
                8                5              100             2.12            30.88
                8                6              100             2.12            28.76
                8                7              100             2.12            26.64
                8                8              100             2.12            24.51
                8                9              100             2.12            22.39
                8               10              100             2.12            20.27
                8               11              100             3.63            18.15
                8               12              100             3.63            14.52
                8                1              100             3.63            10.89
                8                2              100             3.63             7.26
                8                3              100             3.63             3.63
                9                4              100             0.24             3.50
                9                5              100             0.25             3.26
                9                6              100             0.45             3.01
                9                7              100             0.39             2.56
                9                8              100             0.39             2.18
                9                9              100             0.39             1.79
                9               10              100             0.39             1.41
                9               11              100             0.39             1.02
                9               12              100             0.17             0.64
                9                1              100             0.13             0.47
