res_level
res_num level   month   target
33  1   7   13.0
33  1   8   15.0
33  1   9   20.0
33  1   10  15.0
33  1   11  14.0
33  1   12  13.0
33  2   1   33.0
33  2   2   33.0
33  2   3   26.0
33  2   4   25.0
33  2   5   18.0
33  2   6   30.0
33  2   7   36.0
33  2   8   46.0
33  2   9   46.0
33  2   10  43.0
33  2   11  39.0
33  2   12  31.0
33  3   1   38.0
33  3   2   33.0
33  3   3   30.0
33  3   4   30.0
33  3   5   31.0
33  3   6   32.0
33  3   7   41.0
33  3   8   51.0
33  3   9   51.0
33  3   10  44.0
33  3   11  39.0
33  3   12  41.0
33  4   1   41.0
33  4   2   35.0
33  4   3   35.0
33  4   4   35.0
33  4   5   41.0
33  4   6   38.0
33  4   7   45.0
33  4   8   59.0
33  4   9   60.0
33  4   10  45.0
33  4   11  45.0
33  4   12  43.0
34  1   1   2.5
34  1   2   2.0
34  1   3   1.75
34  1   4   1.5
34  1   5   1.5
34  1   6   2.0
34  1   7   3.0
34  1   8   4.0
34  1   9   4.0
34  1   10  3.0
34  1   11  3.5
34  1   12  3.0
34  2   1   5.0
34  2   2   3.0
34  2   3   3.0
34  2   4   4.0
34  2   5   5.0
34  2   6   7.0
34  2   7   12.0
34  2   8   38.0
34  2   9   35.0
34  2   10  15.0
34  2   11  5.0
34  2   12  5.0
34  3   1   6.0
34  3   2   10.0
34  3   3   12.0
34  3   4   14.0
34  3   5   17.0
34  3   6   17.0
34  3   7   20.0
34  3   8   39.0
34  3   9   38.0
34  3   10  22.0
34  3   11  7.0
34  3   12  7.0
34  4   1   8.0
34  4   2   12.0
34  4   3   18.0
34  4   4   20.0
34  4   5   20.0
34  4   6   20.0
34  4   7   28.0
34  4   8   40.0
34  4   9   42.0
34  4   10  24.0
34  4   11  10.0
34  4   12  8.0
35  1   1   12.0
35  1   2   9.0
35  1   3   7.0
35  1   4   3.0
35  1   5   1.5
35  1   6   3.0
35  1   7   13.0
35  1   8   15.0
35  1   9   20.0
35  1   10  15.0
35  1   11  14.0
35  1   12  13.0
35  2   1   30.0
35  2   2   20.0
35  2   3   18.0
35  2   4   15.0
35  2   5   15.0
35  2   6   20.0
35  2   7   30.0
35  2   8   60.0
35  2   9   60.0
35  2   10  46.0
35  2   11  30.0
35  2   12  33.0
35  3   1   35.0
35  3   2   30.0
35  3   3   26.0
35  3   4   20.0
35  3   5   20.0
35  3   6   25.0
35  3   7   35.0
35  3   8   61.0
35  3   9   69.0
35  3   10  47.0
35  3   11  45.0
35  3   12  35.0
35  4   1   40.0
35  4   2   40.0
35  4   3   29.0
35  4   4   26.0
35  4   5   30.0
35  4   6   34.0
35  4   7   48.0
35  4   8   73.0
35  4   9   71.0
35  4   10  49.0
35  4   11  46.0
35  4   12  44.0
36  1   1   24.0
36  1   2   24.0
36  1   3   24.0
36  1   4   10.0
36  1   5   10.0
36  1   6   10.0
36  1   7   25.0
36  1   8   23.0
36  1   9   20.0
36  1   10  25.0
36  1   11  25.0
36  1   12  25.0
36  2   1   32.0
36  2   2   34.0
36  2   3   34.0
36  2   4   30.0
36  2   5   20.0
36  2   6   40.0
36  2   7   40.0
36  2   8   39.5
36  2   9   40.0
36  2   10  40.0
36  2   11  35.0
36  2   12  30.0
36  3   1   33.0
36  3   2   40.0
36  3   3   40.0
36  3   4   38.0
36  3   5   33.0
36  3   6   45.0
36  3   7   45.0
36  3   8   41.0
36  3   9   48.0
36  3   10  45.0
36  3   11  38.0
36  3   12  35.5
37  3   1   60.0
37  3   2   56.5
37  3   3   56.5
37  3   4   56.5
37  3   5   56.5
37  3   6   56.5
37  3   7   63.5
37  3   8   63.5
37  3   9   63.5
37  3   10  63.5
37  3   11  63.5
37  3   12  63.5
37  4   1   60.0
37  4   2   56.5
37  4   3   56.5
37  4   4   56.5
37  4   5   56.5
37  4   6   56.5
37  4   7   63.5
37  4   8   63.5
37  4   9   63.5
37  4   10  63.5
37  4   11  63.5
37  4   12  63.5
37  5   1   60.0
37  5   2   56.5
37  5   3   56.5
37  5   4   56.5
37  5   5   56.5
37  5   6   56.5
37  5   7   63.5
37  5   8   63.5
37  5   9   63.5
37  5   10  63.5
37  5   11  63.5
37  5   12  63.5
40      3       1       48.2
40      3       2       48.2
40      3       3       48.2
40      3       4       48.2
40      3       5       48.2
40      3       6       48.2
40      3       7       50.9
40      3       8       50.9
40      3       9       50.9
40      3       10      50.9
40      3       11      50.9
40      3       12      47.0
40      4       1       48.2
40      4       2       48.2
40      4       3       48.2
40      4       4       48.2
40      4       5       48.2
40      4       6       48.2
40      4       7       50.9
40      4       8       50.9
40      4       9       50.9
40      4       10      50.9
40      4       11      50.9
40      4       12      50.9
41      3       1       28.4
41      3       2       28.4
41      3       3       28.4
41      3       4       28.4
41      3       5       28.4
41      3       6       38.3
41      3       7       38.3
41      3       8       38.3
41      3       9       38.3
41      3       10      38.3
41      3       11      38.3
41      3       12      30.0
41      4       1       50.4
41      4       2       38.3
41      4       3       38.3
41      4       4       38.3
41      4       5       38.3
41      4       6       50.4
41      4       7       50.4
41      4       8       50.4
41      4       9       50.4
41      4       10      50.4
41      4       11      50.4
41      4       12      50.4
42      3       1       40.0
42      3       2       40.0
42      3       3       40.0
42      3       4       40.0
42      3       5       40.0
42      3       6       40.0
42      3       7       40.0
42      3       8       40.0
42      3       9       60.0
42      3       10      70.0
42      3       11      65.0
42      3       12      60.0
75    3    1    21.1
75    3    2    21.1
75    3    3    21.1
75    3    4    21.1
75    3    5    21.1
75    3    6    25.8
75    3    7    31.4
75    3    8    32.5
75    3    9    33.7
75    3    10   33.7
75    3    11   33.7
75    3    12   31.4
78    3    1    17
78    3    2    15
78    3    3    15
78    3    4    18
78    3    5    18
78    3    6    18
78    3    7    19
78    3    8    20
78    3    9    20
78    3    10   21
78    3    11   22
78    3    12   20
79    3    1    20
79    3    2    11
79    3    3    11
79    3    4    15
79    3    5    20
79    3    6    25
79    3    7    30
79    3    8    32
79    3    9    32
79    3    10   32
79    3    11   35
79    3    12   28
79    4    1    20
79    4    2    11
79    4    3    11
79    4    4    15
79    4    5    20
79    4    6    25
79    4    7    30
79    4    8    32
79    4    9    32
79    4    10   32
79    4    11   35
79    4    12   28
81    3    1    1660
81    3    2    1590
81    3    3    1590
81    3    4    1590
81    3    5    1590
81    3    6    1290
81    3    7    1260
81    3    8    1270
81    3    9    1700
81    3    10   1700
81    3    11   1700
81    3    12   1700
90    2    1    100
90    2    2    50
90    2    3    50
90    2    4    50
90    2    5    100
90    2    6    100
90    2    7    100
90    2    8    100
90    2    9    100
90    2    10   100
90    2    11   100
90    2    12   100
90    3    1    198
90    3    2    193
90    3    3    188
90    3    4    183
90    3    5    188
90    3    6    193
90    3    7    198
90    3    8    203
90    3    9    210
90    3    10   210
90    3    11   210
90    3    12   203
91    2    1    28
91    2    2    28
91    2    3    28
91    2    4    28
91    2    5    28
91    2    6    28
91    2    7    28
91    2    8    28
91    2    9    28
91    2    10   28
91    2    11   28
91    2    12   28
92    2    1    18
92    2    2    90
92    2    3    80
92    2    4    70
92    2    5    60
92    2    6    50
92    2    7    40
92    2    8    40
92    2    9    40
92    2    10   40
92    2    11   40
92    2    12   100
286     2	1       3.0
286     2	2       3.0
286     2	3       3.0
286     2	4      10.0
286     2	5      16.0
286     2	6      16.0
286     2	7      15.0
286     2	8      14.0
286     2	9      12.0
286     2	10      9.0
286     2	11      6.0
286     2	12      3.0
