clair_level
month   storage level
    1    0        0
    1    700      1
    1    1000     2
    1    1100     3
    1    1500     4
    1    9999     5
    2    0        0
    2    700      1
    2    1000     2
    2    1100     3
    2    1500     4
    2    9999     5
    3    0        0
    3    700      1
    3    1000     2
    3    1150     3
    3    1550     4
    3    9999     5
    4    0        0
    4    700      1
    4    1050     2
    4    1200     3
    4    1600     4
    4    9999     5
    5    0        0
    5    750      1
    5    1100     2
    5    1300     3
    5    1700     4
    5    9999     5
    6    0        0
    6    750      1
    6    1200     2
    6    1500     3
    6    1900     4
    6    9999     5
    7    0        0
    7    800      1
    7    1300     2
    7    1800     3
    7    2200     4
    7    9999     5
    8    0        0
    8    800      1
    8    1300     2
    8    1800     3
    8    2200     4
    8    9999     5
    9    0        0
    9    750      1
    9    1100     2
    9    1300     3
    9    1700     4
    9    9999     5
   10    0        0
   10    700      1
   10    1000     2
   10    1100     3
   10    1500     4
   10    9999     5
   11    0        0
   11    700      1
   11    1000     2
   11    1100     3
   11    1500     4
   11    9999     5
   12    0        0
   12    700      1
   12    1000     2
   12    1100     3
   12    1500     4
   12    9999     5
