!swp_3_tablea_for_WSIDI_training
! output file swp_3_tablea_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! Draft CalSim 3.0
! 2005 Level of Development Assumptions for the Common Assumptions Process
! source spreadsheet: CALSIM30_SWP_SOD_2005_010709.xls
swp_3_tablea
contractor       percent          TableA
                1              100            25.56
                2              100            22.98
                3              100            39.50
                4              100            73.59
                5              100            12.70
                6              100            41.25
                7              100             9.60
                8              100            33.00
                9              100             3.50
               10              100             9.00
               11              100             3.02
               12              100            19.05
               13              100            55.97
               14              100             3.00
               15              100           134.60
               16              100           633.52
               17              100            76.18
               18              100            54.52
               19              100            65.12
               20              100             2.30
               21              100           473.85
               22              100           167.75
               23              100           172.28
               24              100           830.12
               25              100           167.51
               26              100            37.90
               27              100            13.55
               28              100             5.30
               29              100            15.78
               30              100            72.42
               31              100            28.80
               32              100             6.00
               33              100            25.00
               34              100            40.31
               35              100            77.91
               36              100            24.43
               37              100            96.23
               38              100             3.15
               39              100            16.85
                1               50            25.56
                2               50            22.98
                3               50            39.50
                4               50            73.59
                5               50            12.70
                6               50            41.25
                7               50             9.60
                8               50            33.00
                9               50             3.50
               10               50             9.00
               11               50             3.02
               12               50            19.05
               13               50            55.97
               14               50             3.00
               15               50           134.60
               16               50           633.52
               17               50            76.18
               18               50            54.52
               19               50            65.12
               20               50             2.30
               21               50           473.85
               22               50           167.75
               23               50           172.28
               24               50           830.12
               25               50           167.51
               26               50            37.90
               27               50            13.55
               28               50             5.30
               29               50            15.78
               30               50            72.42
               31               50            28.80
               32               50             6.00
               33               50            25.00
               34               50            40.31
               35               50            77.91
               36               50            24.43
               37               50            96.23
               38               50             3.15
               39               50            16.85
                1               30            25.56
                2               30            22.98
                3               30            39.50
                4               30            73.59
                5               30            12.70
                6               30            41.25
                7               30             9.60
                8               30            33.00
                9               30             3.50
               10               30             9.00
               11               30             3.02
               12               30            19.05
               13               30            55.97
               14               30             3.00
               15               30           134.60
               16               30           633.52
               17               30            76.18
               18               30            54.52
               19               30            65.12
               20               30             2.30
               21               30           473.85
               22               30           167.75
               23               30           172.28
               24               30           830.12
               25               30           167.51
               26               30            37.90
               27               30            13.55
               28               30             5.30
               29               30            15.78
               30               30            72.42
               31               30            28.80
               32               30             6.00
               33               30            25.00
               34               30            40.31
               35               30            77.91
               36               30            24.43
               37               30            96.23
               38               30             3.15
               39               30            16.85
