! Version 9 of the Common Assumptions Common Model Package (CMP)
! 2005 Level of Development Assumptions for the Common Assumptions Process
! source spreadsheet: CACMPV9_SWP_SOD_2005_071507.xls
swp_3_tablea
contractor       percent          TableA
                1              100            25.56
                2              100            22.98
                3              100            39.50
                4              100            73.59
                5              100            12.70
                6              100            41.25
                7              100             9.60
                8              100            33.00
                9              100             3.50
               10              100             9.00
               11              100             3.02
               12              100            19.05
               13              100            55.97
               14              100             3.00
               15              100           134.60
               16              100           633.52
               17              100            76.18
               18              100            54.52
               19              100            65.12
               20              100             2.30
               21              100           473.85
               22              100           167.75
               23              100           172.28
               24              100           830.12
               25              100           167.51
               26              100            37.90
               27              100            13.55
               28              100             5.30
               29              100            15.78
               30              100            72.42
               31              100            28.80
               32              100             6.00
               33              100            25.00
               34              100            40.31
               35              100            77.91
               36              100            24.43
               37              100            96.23
               38              100             3.15
               39              100            16.85
                1               50            20.49
                2               50            32.45
                3               50            42.00
                4               50           124.22
                5               50            12.70
                6               50            69.13
                7               50             9.60
                8               50            33.00
                9               50             3.50
               10               50             9.00
               11               50             5.55
               12               50            33.34
               13               50            57.34
               14               50             3.00
               15               50           134.60
               16               50           577.87
               17               50            77.89
               18               50           109.04
               19               50            96.67
               20               50             2.30
               21               50           508.15
               22               50             0.00
               23               50           353.73
               24               50           927.29
               25               50           222.34
               26               50            48.22
               27               50            19.78
               28               50             5.70
               29               50            21.05
               30               50            87.42
               31               50            28.80
               32               50             6.00
               33               50            25.00
               34               50            45.49
               35               50            95.00
               36               50            38.77
               37               50            96.23
               38               50             3.94
               39               50            16.06
                1               30            26.54
                2               30            32.64
                3               30            42.00
                4               30           132.16
                5               30            12.70
                6               30            82.20
                7               30             9.60
                8               30            33.00
                9               30             3.50
               10               30             9.00
               11               30             5.80
               12               30            35.42
               13               30            57.34
               14               30             3.00
               15               30           134.60
               16               30           582.26
               17               30            36.01
               18               30           150.66
               19               30            94.31
               20               30             2.30
               21               30           554.95
               22               30             0.00
               23               30           539.18
               24               30           648.82
               25               30           268.55
               26               30            58.21
               27               30            21.90
               28               30             5.70
               29               30            21.21
               30               30            87.42
               31               30            28.80
               32               30             6.00
               33               30            25.00
               34               30            45.49
               35               30            98.33
               36               30            38.77
               37               30            96.23
               38               30             5.44
               39               30            14.56
