!ERPP target inflows for NOD and SJR rivers in CFS
!cp 151, 153, 152, 157 is march 1-10, cp 522, 543, 563 is may 1-10		
!cp 154 is may 1-31, and cp 158 is march 1-10 and may 1-10		
ERPP		
TARGET	CP	WYTYPE
0     1581	5
0	  1581	4
0	  1581	3
0	  1581	2
0     1581	1
0     1582	5
0	  1582	4
0	  1582	3
0	  1582	2
0     1582	1
0     154	5
0	  154	4
0	  154	3
0	  154	2
0	  154	1
0     151	5
0     151	4
0	  151	3
0	  151	2
0     151	1
0     153	5
0     153	4
0     153	3
0     153	2
0     153	1
0     152	5
0     152	4
0     152	3
0     152	2
0     152	1
0     157	5
0     157	4
0     157	3
0     157	2
0     157	1
0     522	5
0     522	4
0     522	3
0     522	2
0     522	1
0     543	5
0     543	4
0     543	3
0     543	2
0     543	1
0     563	5
0     563	4
0     563	3
0     563	2
0     563	1














