Channel
Channel
Channel
Channel
Arc,Minimum Flow,Units,Maximum Flow,Units,Minimum Instream Flow,Units,Description
C421,0,CFS,99999,CFS,NONE,CFS,OLD RIVER PIPELINE
C422,-99999,CFS,400,CFS,NONE,CFS,TRANSFER PIPELINE
C423,-99999,CFS,400,CFS,NONE,CFS,LV PIPELINE
C424,0,CFS,400,CFS,NONE,CFS,LV PIPELINE
C422_KC,0,CFS,99999,CFS,NONE,CFS,Release to Kellogg Creek


