! source spreadsheet: BST_SWP_SOD_2011DRR_090911_Future.xls           
swp_3pattern_SLRule           
month     percent   demand    b4lowpoint
8    30   361.6     2377.4
9    30   590.2     2015.8
10   30   745.0     1425.6
11   30   680.5     680.5
12   30   536.4     536.4
8    50   281.6     2166.6
9    50   504.1     1885.0
10   50   674.3     1380.9
11   50   706.6     706.6
12   50   602.6     602.6
8    100  360.5     1777.9
9    100  443.4     1417.4
10   100  466.8     974.1
11   100  507.3     507.3
12   100  398.4     398.4
