Channel
Channel
Channel
Channel
Arc,Minimum Flow,Units,Maximum Flow,Units,Minimum Instream Flow,Units,Description
C861_AEI,-9999,CFS,9999,CFS,NONE,CFS,Arvin-Edison Connection Intertie
C848_TVC,-1000,CFS,1000,CFS,NONE,CFS,Trans Valley Canal
C855_CVC,-500,CFS,800,CFS,NONE,CFS,Cross Valley Canal
C851_SW,-200,CFS,200,CFS,NONE,CFS,Shafter-Wasco Canal


