! These values tailored to address NODOS related Temperature Control Objectives
! These operations are not used unless specifically coded in as part of NODOS or other project scenarios
SAC_TemperatureControl
month   trigger    flow
1              0       0
1           9999       0
2              0       0
2           9999       0
3              0       0
3           9999       0
4              0       0
4           9999       0
5              0       0
5           9999       0
6              0       0
6           9999       0
7              0    3250
7           2000    3250
7           2500    3500
7           3250    4000
7           3750    4250
7           4500    4500
7           9999    4500
8              0    3250
8           2000    3250
8           2500    4500
8           3250    5750
8           3750    6450
8           4500    7250
8           9999    7250
9              0    3250
9           2000    3250
9           2500    6500
9           3250    9250
9           3750   10200
9           4500   11000
9           9999   11000
10             0    3250
10          2000    3250
10          2500    8500
10          3250   11250
10          3750   12200
10          4500   13000
10          9999   13000
11             0    3250
11          2000    3250
11          2500    7250
11          3250    9750
11          3750   10750
11          4500   11750
11          9999   11750
12             0    3250
12          2000    3250
12          2500    4750
12          3250    6250
12          3750    7000
12          4500    7750
12          9999    7750
