!factD531 and factD523 moved to time series input
sjr_monthly_data
month   limit_D78_MI factD533    factD549    factD531    factD523    demand_D78_MI  sjr_dist  D620_lim  D630A_lim
1       5.41         0.35        0.30        0.60        0.35        5.41           .05       50.00     50.00
2       5.41         0.35        0.30        0.60        0.35        5.41           .00       50.00     50.00
3       5.41         0.35        0.30        0.35        0.35        5.41           .00       50.00     50.00
4       5.23         0.35        0.30        0.35        0.35        5.23           .00       50.00     50.00
5       4.48         0.35        0.30        0.35        0.35        4.48           .00       50.00     50.00
6       5.23         0.35        0.30        0.60        0.40        5.23           .05       50.00     50.00
7       5.04         0.60        0.50        0.60        0.70        5.04           .15       50.00     50.00
8       5.60         0.75        0.65        0.60        0.75        5.60           .15       50.00     50.00
9       5.60         0.80        0.75        0.75        0.80        5.60           .2        50.00     50.00
10      5.79         0.80        0.65        0.70        0.80        5.79           .2        50.00     50.00
11      5.79         0.70        0.60        0.65        0.70        5.79           .1        50.00     50.00
12      5.60         0.70        0.55        0.60        0.70        5.60           .1        50.00     50.00


