CVPcontractRF			
Node	Contr	Month	mon_Pct
700	1	1	0
700	1	2	0
700	1	3	0
700	1	4	0
700	1	5	0
700	1	6	0
700	1	7	0
700	1	8	0
700	1	9	0
700	1	10	0
700	1	11	0
700	1	12	0
700	2	1	0
700	2	2	0
700	2	3	0
700	2	4	0
700	2	5	0
700	2	6	0
700	2	7	0
700	2	8	0
700	2	9	0
700	2	10	0
700	2	11	0
700	2	12	0
700	3	1	0
700	3	2	0
700	3	3	0
700	3	4	0
700	3	5	0
700	3	6	0
700	3	7	0
700	3	8	0
700	3	9	0
700	3	10	0
700	3	11	0
700	3	12	0
700	4	1	0
700	4	2	0
700	4	3	0
700	4	4	0
700	4	5	0
700	4	6	0
700	4	7	0
700	4	8	0
700	4	9	0
700	4	10	0
700	4	11	0
700	4	12	0
701	1	1	0
701	1	2	0
701	1	3	0
701	1	4	0
701	1	5	0
701	1	6	0
701	1	7	0
701	1	8	0
701	1	9	0
701	1	10	0
701	1	11	0
701	1	12	0
701	2	1	0.07
701	2	2	0.07
701	2	3	0.2
701	2	4	0.2
701	2	5	0.2
701	2	6	0.07
701	2	7	0.07
701	2	8	0.07
701	2	9	0.07
701	2	10	0.07
701	2	11	0.07
701	2	12	0.07
701	3	1	0.07
701	3	2	0.07
701	3	3	0.2
701	3	4	0.2
701	3	5	0.2
701	3	6	0.07
701	3	7	0.07
701	3	8	0.07
701	3	9	0.07
701	3	10	0.07
701	3	11	0.07
701	3	12	0.07
701	4	1	0.07
701	4	2	0.07
701	4	3	0.2
701	4	4	0.2
701	4	5	0.2
701	4	6	0.07
701	4	7	0.07
701	4	8	0.07
701	4	9	0.07
701	4	10	0.07
701	4	11	0.07
701	4	12	0.07
701	5	1	0.07
701	5	2	0.07
701	5	3	0.2
701	5	4	0.2
701	5	5	0.2
701	5	6	0.07
701	5	7	0.07
701	5	8	0.07
701	5	9	0.07
701	5	10	0.07
701	5	11	0.07
701	5	12	0.07
701	6	1	0.07
701	6	2	0.07
701	6	3	0.2
701	6	4	0.2
701	6	5	0.2
701	6	6	0.07
701	6	7	0.07
701	6	8	0.07
701	6	9	0.07
701	6	10	0.07
701	6	11	0.07
701	6	12	0.07
701	7	1	0.07
701	7	2	0.07
701	7	3	0.2
701	7	4	0.2
701	7	5	0.2
701	7	6	0.07
701	7	7	0.07
701	7	8	0.07
701	7	9	0.07
701	7	10	0.07
701	7	11	0.07
701	7	12	0.07
701	8	1	0
701	8	2	0
701	8	3	0
701	8	4	0
701	8	5	0
701	8	6	0
701	8	7	0
701	8	8	0
701	8	9	0
701	8	10	0
701	8	11	0
701	8	12	0
701	9	1	0.07
701	9	2	0.07
701	9	3	0.2
701	9	4	0.2
701	9	5	0.2
701	9	6	0.07
701	9	7	0.07
701	9	8	0.07
701	9	9	0.07
