CVPcontractRF			
Node	Contr	Month	mon_Pct
701	9	10	0.07
701	9	11	0.07
701	9	12	0.07
701	10	1	0.07
701	10	2	0.07
701	10	3	0.2
701	10	4	0.2
701	10	5	0.2
701	10	6	0.07
701	10	7	0.07
701	10	8	0.07
701	10	9	0.07
701	10	10	0.07
701	10	11	0.07
701	10	12	0.07
701	11	1	0.07
701	11	2	0.07
701	11	3	0.2
701	11	4	0.2
701	11	5	0.2
701	11	6	0.07
701	11	7	0.07
701	11	8	0.07
701	11	9	0.07
701	11	10	0.07
701	11	11	0.07
701	11	12	0.07
701	12	1	0.07
701	12	2	0.07
701	12	3	0.2
701	12	4	0.2
701	12	5	0.2
701	12	6	0.07
701	12	7	0.07
701	12	8	0.07
701	12	9	0.07
701	12	10	0.07
701	12	11	0.07
701	12	12	0.07
701	13	1	0
701	13	2	0
701	13	3	0
701	13	4	0
701	13	5	0
701	13	6	0
701	13	7	0
701	13	8	0
701	13	9	0
701	13	10	0
701	13	11	0
701	13	12	0
701	14	1	0
701	14	2	0
701	14	3	0
701	14	4	0
701	14	5	0
701	14	6	0
701	14	7	0
701	14	8	0
701	14	9	0
701	14	10	0
701	14	11	0
701	14	12	0
701	15	1	0
701	15	2	0
701	15	3	0
701	15	4	0
701	15	5	0
701	15	6	0
701	15	7	0
701	15	8	0
701	15	9	0
701	15	10	0
701	15	11	0
701	15	12	0
706	1	1	0
706	1	2	0
706	1	3	0
706	1	4	0
706	1	5	0
706	1	6	0
706	1	7	0
706	1	8	0
706	1	9	0
706	1	10	0
706	1	11	0
706	1	12	0
706	2	1	0
706	2	2	0
706	2	3	0
706	2	4	0
706	2	5	0
706	2	6	0
706	2	7	0
706	2	8	0
706	2	9	0
706	2	10	0
706	2	11	0
706	2	12	0
706	3	1	0
706	3	2	0
706	3	3	0
706	3	4	0
706	3	5	0
706	3	6	0
706	3	7	0
706	3	8	0
706	3	9	0
706	3	10	0
706	3	11	0
706	3	12	0
706	4	1	0
706	4	2	0
706	4	3	0
706	4	4	0
706	4	5	0
706	4	6	0
706	4	7	0
706	4	8	0
706	4	9	0
706	4	10	0
706	4	11	0
706	4	12	0
706	5	1	0
706	5	2	0
706	5	3	0
706	5	4	0
706	5	5	0
706	5	6	0
706	5	7	0
706	5	8	0
706	5	9	0
706	5	10	0
706	5	11	0
706	5	12	0
706	6	1	0
706	6	2	0
706	6	3	0
706	6	4	0
706	6	5	0
706	6	6	0
706	6	7	0
706	6	8	0
706	6	9	0
706	6	10	0
706	6	11	0
706	6	12	0
706	7	1	0
706	7	2	0
706	7	3	0
706	7	4	0
706	7	5	0
706	7	6	0
706	7	7	0
706	7	8	0
706	7	9	0
706	7	10	0
706	7	11	0
706	7	12	0
706	8	1	0
706	8	2	0
706	8	3	0
706	8	4	0
706	8	5	0
706	8	6	0
706	8	7	0
706	8	8	0
706	8	9	0
706	8	10	0
706	8	11	0
706	8	12	0
707	1	1	0.07
707	1	2	0.07
707	1	3	0.2
707	1	4	0.2
707	1	5	0.2
707	1	6	0.07
707	1	7	0.07
707	1	8	0.07
707	1	9	0.07
707	1	10	0.07
707	1	11	0.07	
707	1	12	0.07	
708	1	1	0.058
708	1	2	0.153
708	1	3	0.124
708	1	4	0.079
708	1	5	0.139
708	1	6	0.094
708	1	7	0.023
708	1	8	0.050
708	1	9	0.045
708	1	10	0.027
708	1	11	0.019
708	1	12	0.189
6071	1	1	0.07	
6071	1	2	0.07	
6071	1	3	0.2
6071	1	4	0.2
6071	1	5	0.2
6071	1	6	0.07
6071	1	7	0.07
6071	1	8	0.07
6071	1	9	0.07
6071	1	10	0.07
6071	1	11	0.07
6071	1	12	0.07
6071	2	1	0.07
6071	2	2	0.07
6071	2	3	0.2
6071	2	4	0.2
6071	2	5	0.2
6071	2	6	0.07
6071	2	7	0.07
6071	2	8	0.07
6071	2	9	0.07
6071	2	10	0.07
6071	2	11	0.07
6071	2	12	0.07
6071	3	1	0.07
6071	3	2	0.07
6071	3	3	0.2
6071	3	4	0.2
6071	3	5	0.2
6071	3	6	0.07
6071	3	7	0.07
6071	3	8	0.07
6071	3	9	0.07
6071	3	10	0.07
6071	3	11	0.07
6071	3	12	0.07
6071	4	1	0.07
6071	4	2	0.07
6071	4	3	0.2
6071	4	4	0.2
6071	4	5	0.2
6071	4	6	0.07
6071	4	7	0.07
6071	4	8	0.07
6071	4	9	0.07
6071	4	10	0.07
6071	4	11	0.07
6071	4	12	0.07
6071	5	1	0.07
6071	5	2	0.07
6071	5	3	0.2
6071	5	4	0.2
6071	5	5	0.2
6071	5	6	0.07
6071	5	7	0.07
6071	5	8	0.07
6071	5	9	0.07
6071	5	10	0.07
6071	5	11	0.07
6071	5	12	0.07
6071	6	1	0.07
6071	6	2	0.07
6071	6	3	0.2
6071	6	4	0.2
6071	6	5	0.2
6071	6	6	0.07
6071	6	7	0.07
6071	6	8	0.07
6071	6	9	0.07
6071	6	10	0.07
6071	6	11	0.07
6071	6	12	0.07
6071	7	1	0.07
6071	7	2	0.07
6071	7	3	0.2
6071	7	4	0.2
6071	7	5	0.2
6071	7	6	0.07
6071	7	7	0.07
6071	7	8	0.07
6071	7	9	0.07
6071	7	10	0.07
6071	7	11	0.07
6071	7	12	0.07
6072	1	1	0.07
6072	1	2	0.07
6072	1	3	0.2
6072	1	4	0.2
6072	1	5	0.2
6072	1	6	0.07
6072	1	7	0.07
6072	1	8	0.07
6072	1	9	0.07
6072	1	10	0.07
6072	1	11	0.07
6072	1	12	0.07
6072	2	1	0.07
6072	2	2	0.07
6072	2	3	0.2
6072	2	4	0.2
6072	2	5	0.2
6072	2	6	0.07
6072	2	7	0.07
6072	2	8	0.07
6072	2	9	0.07
6072	2	10	0.07
6072	2	11	0.07
6072	2	12	0.07
6073	1	1	0.058
6073	1	2	0.153
6073	1	3	0.124
6073	1	4	0.079
6073	1	5	0.139
6073	1	6	0.094
6073	1	7	0.023
6073	1	8	0.050
6073	1	9	0.045
6073	1	10	0.027
6073	1	11	0.019
6073	1	12	0.189

