! FK_delivery_class1.table
! Total Friant-Kern Canal delivery distribution
! written 09.12.2002 by MBK
FK_delivery_class1
delivery     contract_month  percent
            0               1      5.0
          650               1      5.0
          800               1      5.0
          900               1      5.6
         1000               1      5.0
         1100               1      4.7
         1200               1      4.3
         1300               1      3.9
         1400               1      3.4
         1500               1      3.0
         1600               1      2.6
         1700               1      2.1
         1800               1      1.7
         1900               1      1.3
         2000               1      0.9
         2100               1      0.4
         2200               1      0.0
            0               2      6.0
          650               2      9.0
          800               2      9.0
          900               2      9.5
         1000               2      8.6
         1100               2      7.9
         1200               2      7.2
         1300               2      6.5
         1400               2      5.7
         1500               2      5.0
         1600               2      4.3
         1700               2      3.6
         1800               2      2.9
         1900               2      2.2
         2000               2      1.4
         2100               2      0.7
         2200               2      0.0
            0               3      9.0
          650               3     13.0
          800               3     13.0
          900               3     12.9
         1000               3     11.7
         1100               3     11.1
         1200               3     10.4
         1300               3      9.8
         1400               3      9.1
         1500               3      8.5
         1600               3      7.9
         1700               3      7.2
         1800               3      6.6
         1900               3      5.9
         2000               3      5.3
         2100               3      4.6
         2200               3      4.0
            0               4     20.0
          650               4     18.5
          800               4     18.5
          900               4     18.0
         1000               4     18.0
         1100               4     18.0
         1200               4     17.7
         1300               4     17.5
         1400               4     16.2
         1500               4     15.2
         1600               4     13.6
         1700               4     13.9
         1800               4     13.7
         1900               4     13.7
         2000               4     13.5
         2100               4     13.7
         2200               4     13.5
            0               5     26.0
          650               5     20.0
          800               5     20.0
          900               5     20.0
         1000               5     21.0
         1100               5     21.2
         1200               5     21.6
         1300               5     21.9
         1400               5     22.2
         1500               5     22.5
         1600               5     22.8
         1700               5     23.0
         1800               5     23.3
         1900               5     23.6
         2000               5     23.9
         2100               5     24.2
         2200               5     24.5
            0               6     15.0
          650               6     18.0
          800               6     18.0
          900               6     17.5
         1000               6     17.9
         1100               6     18.4
         1200               6     18.9
         1300               6     19.4
         1400               6     19.9
         1500               6     20.4
         1600               6     21.0
         1700               6     21.5
         1800               6     22.0
         1900               6     22.5
         2000               6     23.0
         2100               6     23.5
         2200               6     24.0
            0               7      8.0
          650               7      9.0
          800               7      9.0
          900               7      9.0
         1000               7      9.9
         1100               7     10.3
         1200               7     10.8
         1300               7     11.2
         1400               7     11.6
         1500               7     12.0
         1600               7     12.5
         1700               7     12.9
         1800               7     13.3
         1900               7     13.7
         2000               7     14.2
         2100               7     14.6
         2200               7     15.0
            0               8      6.0
          650               8      3.0
          800               8      3.0
          900               8      3.0
         1000               8      3.2
         1100               8      3.6
         1200               8      4.0
         1300               8      4.7
         1400               8      5.1
         1500               8      5.5
         1600               8      6.9
         1700               8      7.2
         1800               8      7.6
         1900               8      7.9
         2000               8      8.3
         2100               8      8.6
         2200               8      9.0
            0               9      2.0
          650               9      0.5
          800               9      0.5
          900               9      0.5
         1000               9      0.6
         1100               9      0.6
         1200               9      0.7
         1300               9      0.7
         1400               9      0.8
         1500               9      1.6
         1600               9      1.8
         1700               9      2.0
         1800               9      2.2
         1900               9      2.4
         2000               9      2.6
         2100               9      2.8
         2200               9      3.0
            0              10      0.0
          650              10      0.5
          800              10      0.5
          900              10      0.5
         1000              10      0.6
         1100              10      0.6
         1200              10      0.7
         1300              10      0.7
         1400              10      0.8
         1500              10      0.9
         1600              10      1.0
         1700              10      1.0
         1800              10      1.0
         1900              10      1.0
         2000              10      1.0
         2100              10      1.0
         2200              10      1.0
            0              11      0.0
          650              11      0.5
          800              11      0.5
          900              11      0.5
         1000              11      0.5
         1100              11      0.6
         1200              11      0.7
         1300              11      0.7
         1400              11      0.8
         1500              11      0.9
         1600              11      1.0
         1700              11      1.0
         1800              11      1.0
         1900              11      1.0
         2000              11      1.0
         2100              11      1.0
         2200              11      1.0
            0              12      3.0
          650              12      3.0
          800              12      3.0
          900              12      3.0
         1000              12      3.0
         1100              12      3.0
         1200              12      3.0
         1300              12      3.0
         1400              12      4.4
         1500              12      4.5
         1600              12      4.6
         1700              12      4.6
         1800              12      4.7
         1900              12      4.8
         2000              12      4.9
         2100              12      4.9
         2200              12      5.0
