! These are the pre-CVPIA MIF values at Nimbus for b(2) accounting only - provided by Derek Hilts 5/28/03 based on discussions with Sandberg CVO early 03
nimbus_hist
month   trigger         minflow
1         0               0
1       100             500
1       200             600
1       400             750
1       600             1250
1       800             2650
1       975             3000
1       9999            3000
2         0               0
2       100             500
2       400             500
2       575             1375
2       700             3000
2       9999            3000
3         0               0
3       100             500
3       400             500
3       635             1000
3       760             3000
3       9999            3000
4         0               0
4       100             500
4       400             500
4       635             1000
4       760             3000
4       9999            3000
5         0               0
5       100             500
5       400             500
5       685             1000
5       772             3000
5       9999            3000
6         0               0
6        80             188
6       100             250
6       300             500
6       500             500
6       1000            750
6       1750            1500
6       2500            3000
6       9999            3000
7         0               0
7        80             188
7       100             250
7       300             500
7       500             500
7       1000            750
7       1500            1750
7       2250            3000
7       9999            3000
8         0               0
8        80             188
8       100             250
8       300             500
8       550             500
8       1200            2000
8       1450            2500
8       2300            3000
8       9999            3000
9         0               0
9        80             188
9       100             250
9       300             500
9       550             500
9       1080            2000
9       1300            2500
9       1900            3000
9       9999            3000
10        0               0
10       80             188
10      100             250
10      300             500
10      600             500
10      960             2000
10      1150            2500
10      1600            3000
10      9999            3000
11        0               0
11       80             188
11      100             250
11      200             500
11      600             500
11      840             2000
11      1000            2500
11      1300            3000
11      9999            3000
12        0               0
12       80             281
12      100             375
12      200             375
12      650             500
12      770             1000
12      1000            2500
12      9999            2500

