!  OUWUA Annual Demands based on CU Study
! This file will be removed (2001-2003 dummy numbers).
ouwua_ann_dem
wateryear   ouwua_demand
1921	    104.9
1922	    111.9
1923	    108.3
1924	    117.6
1925	    97.4
1926	    98.3
1927	    106.3
1928	    104.3
1929	    109.9
1930	    101.3
1931	    112.0
1932	    106.5
1933	    113.9
1934	    107.8
1935	    96.7
1936	    101.0
1937	    103.2
1938	    101.7
1939	    116.1
1940	    101.0
1941	    94.5
1942	    94.6
1943	    99.9
1944	    104.4
1945	    101.2
1946	    111.5
1947	    104.6
1948	    92.1
1949	    103.9
1950	    109.6
1951	    108.3
1952	    103.1
1953	    102.3
1954	    101.1
1955	    111.0
1956	    103.3
1957	    104.1
1958	    94.4
1959	    112.5
1960	    100.5
1961	    103.2
1962	    104.6
1963	    94.6
1964	    115.0
1965	    101.2
1966	    112.1
1967	    101.3
1968	    109.2
1969	    107.3
1970	    108.4
1971	    109.4
1972	    114.5
1973	    105.6
1974	    102.8
1975	    103.4
1976	    114.5
1977	    108.4
1978	    97.0
1979	    101.9
1980	    101.9
1981	    97.6
1982	    103.3
1983	    96.6
1984	    110.2
1985	    108.9
1986	    98.2
1987	    106.0
1988	    107.9
1989	    101.6
1990	    104.9
1991	    102.6
1992	    103.1
1993	    96.4
1994	    104.4
1995	    96.3
1996	    98.1
1997	    110.9
1998	    87.1
1999	    104.9
2000	    104.9
2001	    104.9
2002	    104.9
2003	    104.9
