Channel
Channel
Channel
Channel
Arc,Minimum Flow,Units,Maximum Flow,Units,Minimum Instream Flow,Units,Description
C16,0,CFS,9999,TAF,NONE,CFS,Downstream of TFB Intake
C16_TFB,0,CFS,5200,CFS,NONE,CFS,Temperance Flat Bypass
C17,0,CFS,9999,TAF,NONE,CFS,TF release to Millerton


