Connectivity
Connectivity
Connectivity
Connectivity
Node,Arcs IN,Arcs OUT,Storage,Description
16,I18_SJR,C16,,
,,C16_TFB,,
17,C16,C17,S17,Temperance Flat
18,C17,C18,S18,Millerton Lake
,C16_TFB,D18A,,
,I18_FG,D18B,,


