! FK_delivery_total.table
! Total Friant-Kern Canal delivery distribution
! written 09.12.2002 by MBK
FK_delivery_total
delivery     contract_month  percent
            0               1      5.0
          650               1      5.0
          800               1      5.0
          900               1      5.0
         1000               1      5.0
         1200               1      5.0
         1300               1      5.0
         1400               1      5.0
         1500               1      5.0
         1600               1      5.0
         1700               1      5.0
         1800               1      5.0
         1900               1      5.0
         2000               1      5.0
         2100               1      5.0
         2200               1      5.0
            0               2      6.0
          650               2      9.0
          800               2      9.0
          900               2     10.0
         1000               2     10.0
         1200               2     10.0
         1300               2     10.0
         1400               2     10.0
         1500               2      8.0
         1600               2      5.0
         1700               2      5.0
         1800               2      5.0
         1900               2      5.0
         2000               2      5.0
         2100               2      5.0
         2200               2      5.0
            0               3      9.0
          650               3     13.0
          800               3     13.0
          900               3     13.0
         1000               3     13.0
         1200               3     13.0
         1300               3     13.0
         1400               3     13.0
         1500               3     10.0
         1600               3      8.0
         1700               3      8.0
         1800               3      8.0
         1900               3      8.0
         2000               3      8.0
         2100               3      8.0
         2200               3      8.0
            0               4     20.0
          650               4     18.5
          800               4     18.5
          900               4     18.0
         1000               4     18.0
         1200               4     18.0
         1300               4     18.0
         1400               4     18.0
         1500               4     18.0
         1600               4     14.0
         1700               4     13.0
         1800               4     12.0
         1900               4     11.5
         2000               4     11.0
         2100               4     10.0
         2200               4      9.0
            0               5     26.0
          650               5     20.0
          800               5     20.0
          900               5     20.0
         1000               5     19.5
         1200               5     19.5
         1300               5     19.5
         1400               5     19.5
         1500               5     19.0
         1600               5     18.0
         1700               5     17.0
         1800               5     16.0
         1900               5     15.0
         2000               5     14.0
         2100               5     13.0
         2200               5     12.0
            0               6     15.0
          650               6     18.0
          800               6     18.0
          900               6     17.5
         1000               6     17.0
         1200               6     17.0
         1300               6     17.0
         1400               6     17.0
         1500               6     17.0
         1600               6     16.0
         1700               6     16.0
         1800               6     15.0
         1900               6     14.0
         2000               6     14.0
         2100               6     14.0
         2200               6     14.0
            0               7      8.0
          650               7      9.0
          800               7      9.0
          900               7      9.0
         1000               7      9.0
         1200               7      9.0
         1300               7      9.0
         1400               7      9.0
         1500               7     10.0
         1600               7     10.0
         1700               7     10.0
         1800               7     10.0
         1900               7     10.0
         2000               7     10.0
         2100               7     10.0
         2200               7     10.0
            0               8      6.0
          650               8      3.0
          800               8      3.0
          900               8      3.0
         1000               8      3.0
         1200               8      3.0
         1300               8      3.0
         1400               8      3.0
         1500               8      4.0
         1600               8      7.0
         1700               8      7.0
         1800               8      7.0
         1900               8      7.0
         2000               8      7.0
         2100               8      7.0
         2200               8      7.0
            0               9      2.0
          650               9      0.5
          800               9      0.5
          900               9      0.5
         1000               9      0.5
         1200               9      0.5
         1300               9      0.5
         1400               9      0.5
         1500               9      1.0
         1600               9      2.0
         1700               9      2.0
         1800               9      2.0
         1900               9      2.0
         2000               9      2.0
         2100               9      2.0
         2200               9      2.0
            0              10      0.0
          650              10      0.5
          800              10      0.5
          900              10      0.5
         1000              10      0.5
         1200              10      0.5
         1300              10      0.5
         1400              10      0.5
         1500              10      1.0
         1600              10      2.0
         1700              10      2.0
         1800              10      2.0
         1900              10      2.0
         2000              10      2.0
         2100              10      2.0
         2200              10      2.0
            0              11      0.0
          650              11      0.5
          800              11      0.5
          900              11      0.5
         1000              11      0.5
         1200              11      0.5
         1300              11      0.5
         1400              11      0.5
         1500              11      1.0
         1600              11      2.0
         1700              11      2.0
         1800              11      2.0
         1900              11      2.0
         2000              11      2.0
         2100              11      2.0
         2200              11      2.0
            0              12      3.0
          650              12      3.0
          800              12      3.0
          900              12      3.0
         1000              12      4.0
         1200              12      4.0
         1300              12      4.0
         1400              12      4.0
         1500              12      4.0
         1600              12      7.0
         1700              12      7.0
         1800              12      7.0
         1900              12      7.0
         2000              12      7.0
         2100              12      7.0
         2200              12      7.0
