! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2030 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2030_080909.xls
AnnualReqDel_swp
Year             AG               MWD              OTH              LOSS             Total
             1921           1032.1           1911.5           1226.5             64.5           4234.6
             1922           1032.1           1911.5           1226.5             64.5           4234.6
             1923           1032.1           1911.5           1226.5             64.5           4234.6
             1924           1032.1           1911.5           1226.5             64.5           4234.6
             1925           1032.1           1911.5           1226.5             64.5           4234.6
             1926           1032.1           1911.5           1226.5             64.5           4234.6
             1927           1032.1           1911.5           1226.5             64.5           4234.6
             1928           1032.1           1911.5           1226.5             64.5           4234.6
             1929           1032.1           1911.5           1226.5             64.5           4234.6
             1930           1032.1           1911.5           1226.5             64.5           4234.6
             1931           1032.1           1911.5           1226.5             64.5           4234.6
             1932           1032.1           1911.5           1226.5             64.5           4234.6
             1933           1032.1           1911.5           1226.5             64.5           4234.6
             1934           1032.1           1911.5           1226.5             64.5           4234.6
             1935           1032.1           1911.5           1226.5             64.5           4234.6
             1936           1032.1           1911.5           1226.5             64.5           4234.6
             1937           1032.1           1911.5           1226.5             64.5           4234.6
             1938           1032.1           1911.5           1226.5             64.5           4234.6
             1939           1032.1           1911.5           1226.5             64.5           4234.6
             1940           1032.1           1911.5           1226.5             64.5           4234.6
             1941           1032.1           1911.5           1226.5             64.5           4234.6
             1942           1032.1           1911.5           1226.5             64.5           4234.6
             1943           1032.1           1911.5           1226.5             64.5           4234.6
             1944           1032.1           1911.5           1226.5             64.5           4234.6
             1945           1032.1           1911.5           1226.5             64.5           4234.6
             1946           1032.1           1911.5           1226.5             64.5           4234.6
             1947           1032.1           1911.5           1226.5             64.5           4234.6
             1948           1032.1           1911.5           1226.5             64.5           4234.6
             1949           1032.1           1911.5           1226.5             64.5           4234.6
             1950           1032.1           1911.5           1226.5             64.5           4234.6
             1951           1032.1           1911.5           1226.5             64.5           4234.6
             1952           1032.1           1911.5           1226.5             64.5           4234.6
             1953           1032.1           1911.5           1226.5             64.5           4234.6
             1954           1032.1           1911.5           1226.5             64.5           4234.6
             1955           1032.1           1911.5           1226.5             64.5           4234.6
             1956           1032.1           1911.5           1226.5             64.5           4234.6
             1957           1032.1           1911.5           1226.5             64.5           4234.6
             1958           1032.1           1911.5           1226.5             64.5           4234.6
             1959           1032.1           1911.5           1226.5             64.5           4234.6
             1960           1032.1           1911.5           1226.5             64.5           4234.6
             1961           1032.1           1911.5           1226.5             64.5           4234.6
             1962           1032.1           1911.5           1226.5             64.5           4234.6
             1963           1032.1           1911.5           1226.5             64.5           4234.6
             1964           1032.1           1911.5           1226.5             64.5           4234.6
             1965           1032.1           1911.5           1226.5             64.5           4234.6
             1966           1032.1           1911.5           1226.5             64.5           4234.6
             1967           1032.1           1911.5           1226.5             64.5           4234.6
             1968           1032.1           1911.5           1226.5             64.5           4234.6
             1969           1032.1           1911.5           1226.5             64.5           4234.6
             1970           1032.1           1911.5           1226.5             64.5           4234.6
             1971           1032.1           1911.5           1226.5             64.5           4234.6
             1972           1032.1           1911.5           1226.5             64.5           4234.6
             1973           1032.1           1911.5           1226.5             64.5           4234.6
             1974           1032.1           1911.5           1226.5             64.5           4234.6
             1975           1032.1           1911.5           1226.5             64.5           4234.6
             1976           1032.1           1911.5           1226.5             64.5           4234.6
             1977           1032.1           1911.5           1226.5             64.5           4234.6
             1978           1032.1           1911.5           1226.5             64.5           4234.6
             1979           1032.1           1911.5           1226.5             64.5           4234.6
             1980           1032.1           1911.5           1226.5             64.5           4234.6
             1981           1032.1           1911.5           1226.5             64.5           4234.6
             1982           1032.1           1911.5           1226.5             64.5           4234.6
             1983           1032.1           1911.5           1226.5             64.5           4234.6
             1984           1032.1           1911.5           1226.5             64.5           4234.6
             1985           1032.1           1911.5           1226.5             64.5           4234.6
             1986           1032.1           1911.5           1226.5             64.5           4234.6
             1987           1032.1           1911.5           1226.5             64.5           4234.6
             1988           1032.1           1911.5           1226.5             64.5           4234.6
             1989           1032.1           1911.5           1226.5             64.5           4234.6
             1990           1032.1           1911.5           1226.5             64.5           4234.6
             1991           1032.1           1911.5           1226.5             64.5           4234.6
             1992           1032.1           1911.5           1226.5             64.5           4234.6
             1993           1032.1           1911.5           1226.5             64.5           4234.6
             1994           1032.1           1911.5           1226.5             64.5           4234.6
             1995           1032.1           1911.5           1226.5             64.5           4234.6
             1996           1032.1           1911.5           1226.5             64.5           4234.6
             1997           1032.1           1911.5           1226.5             64.5           4234.6
             1998           1032.1           1911.5           1226.5             64.5           4234.6
             1999           1032.1           1911.5           1226.5             64.5           4234.6
             2000           1032.1           1911.5           1226.5             64.5           4234.6
             2001           1032.1           1911.5           1226.5             64.5           4234.6
             2002           1032.1           1911.5           1226.5             64.5           4234.6
             2003           1032.1           1911.5           1226.5             64.5           4234.6
