!Extension of data from 1994 to 2003 by C.Quan-DWR on 6/17/05.
eightriver
wateryear	pmi
1921	2796
1922	1172
1923	1902
1924	443
1925	879
1926	598
1927	1933
1928	1009
1929	579
1930	2298
1931	350
1932	1617
1933	380
1934	1001
1935	730
1936	521
1937	444
1938	5047
1939	720
1940	722
1941	3392
1942	3495
1943	1757
1944	509
1945	1403
1946	4568
1947	963
1948	466
1949	619
1950	412
1951	5857
1952	3446
1953	1847
1954	763
1955	1271
1956	9212
1957	560
1958	1621
1959	570
1960	463
1961	1261
1962	1222
1963	1810
1964	772
1965	8420
1966	971
1967	2898
1968	806
1969	1862
1970	3504
1971	3145
1972	1100
1973	1798
1974	3656
1975	821
1976	720
1977	342
1978	1916
1979	501
1980	1265
1981	858
1982	5643
1983	3799
1984	6667
1985	1115
1986	1273
1987	508
1988	1615
1989	659
1990	414
1991	312
1992	440
1993	1276
1994	709
1995	1044
1996	1661
1997	7189
1998	1212
1999	1828
2000	673
2001	630
2002	2398
2003	3131

