C*******************************************************************************
C
C                  INTEGRATED WATER FLOW MODEL (IWFM)
C                        *** Version 3.02 ***
C
C*******************************************************************************        
C       
C                PUMPING SPECIFICATION DATA FILE        
C                    for IWFM Simulation        
C                         (Unit 23)                             
C       
C       
C             Project:  C2VSim - California Central Valley Groundwater-Surface Water Simulation Model
C             Filename: CVPuSp.dat
C       
C*******************************************************************************        
C                          File Description
C
C   This data file contains the specification data for well pumping and
C   element pumping (sinks).
C
C*******************************************************************************
C                      General Pumping Specifications
C
C   NSINK ;  Number of elements used for element pumping
C
C   IOPT  ;  Option for distribution of element pumping (enter a value for each element pumping column)
C             Enter 0 - to distribute the pumping according to the given fraction
C                       below
C             Enter 1 - to distribute the pumping in proportion to the fraction
C                       times the total area of the element
C             Enter 2 - to distribute the pumping in proportion to the fraction
C                       times the developed area (ag. and urban) within the element
C             Enter 3 - to distribute the pumping in proportion to the fraction
C                       times the developed area (ag. only) within the element
C-------------------------------------------------------------------------------
C   VALUE                                              DESCRIPTION
C-------------------------------------------------------------------------------
      1392                                             / NSINK
      2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2        / IOPT
C-------------------------------------------------------------------------------
C*******************************************************************************
C                   Well Pumping Specifications
C   (Skip if no wells are being modeled, ie, NWELL = 0 as specified in preprocessor)
C
C   ID       ; Well identification number
C   ICOLWL   ; Well pumping - this number corresponds to the appropriate data column
C               in the pumping data file (Unit 24)
C   ICFIRIGWL; Fraction of the pumping that is used for irrigation purposes -
C               this number corresponds to the appropriate data column in the 
C               irrigation fractions data file (Unit 27)
C   FRACWL   ; Relative proportion of the pumping in column ICOLWL to be applied 
C               to well ID
C   IRGWL    ; Subregion number where the pumping is delivered to; 
C               Enter 0, if pumping is exported to outside the model area
C               Enter -1, if the pumping is used in the same element
C   ICADJWL  ; Supply adjustment specification - this number corresponds to 
C               the data column in the supply adjustment specifications 
C               data file (Unit 12)
C   ICWLMAX  ; Maximum pumping amount - this number corresponds to the 
C               appropriate data column in the pumping data file (Unit 24)
C   FWLMAX   ; Fraction of data value specified in column ICWLMAX to be used as
C               maximum pumping amount
C
C-------------------------------------------------------------------------------
C       ID      ICOLWL ICFIRIGWL FRACWL IRGWL   ICADJWL ICWLMAX FWLMAX
C-------------------------------------------------------------------------------
*        1       22      22      0.1918  -1      1       22      0.2876
*        2       22      22      0.0404  -1      1       22      0.0606
*        3       22      22      0.3839  -1      1       22      0.5759
*        4       22      22      0.3839  -1      1       22      0.5759
*        5       23      22      0.2158  -1      1       23      0.3236
*        6       23      22      0.0666  -1      1       23      0.0998
*        7       23      22      0.0628  -1      1       23      0.0942
*        8       23      22      0.1857  -1      1       23      0.2785
*        9       23      22      0.4544  -1      1       23      0.6816
*        10      23      22      0.0147  -1      1       23      0.0221
*        11      24      22      0.1875  -1      1       24      0.2813
*        12      24      22      0.2253  -1      1       24      0.3379
*        13      24      22      0.5872  -1      1       24      0.8808
*        14      25      22      1.0000  -1      1       25      1.5000
*        15      26      22      0.0152  -1      1       26      0.0227
*        16      26      22      0.3841  -1      1       26      0.5761
*        17      26      22      0.0444  -1      1       26      0.0666
*        18      26      22      0.0414  -1      1       26      0.0621
*        19      26      22      0.1181  -1      1       26      0.1772
*        20      26      22      0.0933  -1      1       26      0.1400
*        21      26      22      0.0250  -1      1       26      0.0375
*        22      26      22      0.0156  -1      1       26      0.0234
*        23      26      22      0.2629  -1      1       26      0.3944
*        24      27      22      0.1815  -1      1       27      0.2723
*        25      27      22      0.0409  -1      1       27      0.0613
*        26      27      22      0.0058  -1      1       27      0.0088
*        27      27      22      0.3033  -1      1       27      0.4550
*        28      27      22      0.0130  -1      1       27      0.0195
*        29      27      22      0.2808  -1      1       27      0.4212
*        30      27      22      0.0182  -1      1       27      0.0273
*        31      27      22      0.1564  -1      1       27      0.2345
*        32      28      22      0.2584  -1      1       28      0.3876
*        33      28      22      0.3016  -1      1       28      0.4525
*        34      28      22      0.0754  -1      1       28      0.1131
*        35      28      22      0.0203  -1      1       28      0.0305
*        36      28      22      0.1182  -1      1       28      0.1773
*        37      28      22      0.0737  -1      1       28      0.1106
*        38      28      22      0.0266  -1      1       28      0.0399
*        39      28      22      0.1255  -1      1       28      0.1882
*        40      29      22      0.0354  -1      1       29      0.0531
*        41      29      22      0.0493  -1      1       29      0.0739
*        42      29      22      0.0180  -1      1       29      0.0270
*        43      29      22      0.0086  -1      1       29      0.0129
*        44      29      22      0.0027  -1      1       29      0.0041
*        45      29      22      0.0055  -1      1       29      0.0083
*        46      29      22      0.1051  -1      1       29      0.1576
*        47      29      22      0.0987  -1      1       29      0.1481
*        48      29      22      0.2494  -1      1       29      0.3741
*        49      29      22      0.4273  -1      1       29      0.6409
*        50      30      22      0.1466  -1      1       30      0.2199
*        51      30      22      0.0161  -1      1       30      0.0242
*        52      30      22      0.6505  -1      1       30      0.9758
*        53      30      22      0.1867  -1      1       30      0.2801
*        54      31      22      0.1022  -1      1       31      0.1533
*        55      31      22      0.1079  -1      1       31      0.1618
*        56      31      22      0.0957  -1      1       31      0.1436
*        57      31      22      0.3536  -1      1       31      0.5303
*        58      31      22      0.1011  -1      1       31      0.1516
*        59      31      22      0.2101  -1      1       31      0.3151
*        60      31      22      0.0296  -1      1       31      0.0443
*        61      32      22      0.0173  -1      1       32      0.0259
*        62      32      22      0.0117  -1      1       32      0.0176
*        63      32      22      0.0266  -1      1       32      0.0399
*        64      32      22      0.1586  -1      1       32      0.2379
*        65      32      22      0.6409  -1      1       32      0.9613
