gui_x2km
month	wyT_Sac	x2km
1 1 1000
2 1 1000
3 1 1000
4 1 1000
5 1 65
6 1 65
7 1 65
8 1 65
9 1 65
10 1 1000
11 1 1000
12 1 1000
1 2 1000
2 2 1000
3 2 1000
4 2 1000
5 2 70
6 2 70
7 2 70
8 2 70
9 2 70
10 2 1000
11 2 1000
12 2 1000
1 3 1000
2 3 1000
3 3 1000
4 3 1000
5 3 72
6 3 72
7 3 72
8 3 72
9 3 74
10 3 1000
11 3 1000
12 3 1000
1 4 1000
2 4 1000
3 4 1000
4 4 1000
5 4 75
6 4 75
7 4 75
8 4 75
9 4 77
10 4 1000
11 4 1000
12 4 1000
1 5 1000
2 5 1000
3 5 1000
4 5 1000
5 5 81
6 5 81
7 5 81
8 5 81
9 5 81
10 5 1000
11 5 1000
12 5 1000
