Connectivity
Connectivity
Connectivity
Connectivity
Node,Arcs IN,Arcs OUT,Storage,Description
910,D18A,C910,,Kings River
,,D910,,
,,L910,,
920,C910,C920,,Tule River
,,D920,,
,,L920,,
930,C920,C930,,Equalizing Reservoir
,C931_TVC,D930,,
,,L930,,
933,C930,C933,,
,,D933,,
,,L933,,
935,C933,C935,,
,C936_SW,D935,,
,C941A_CVC,L935,,
940,C935,C940,,Kern River
,C941B_CVC,,,
950,C940,D950,,Arvin
,C861_AEI,D950_GWR,,
,D952_GWP,L950,,
848,C847,D848,,Tulare R-8C-8D
,,C848,,
,,C848_TVC,,
851,C850,C851,,CA at Shafter-Wasco Canal
,,D851,,
,,C851_SW,,
855,C854,C855,,
,,D855,,
,,C855_CVC,,
861,C860,C861,,Arvin-Edison Intertie
,,C861_AEI,,
931,C848_TVC,D931A,,Trans Valley Canal
,D933_GWP,C931_TVC,,
,,D931_GWR,,
932,D931A,D932,,Friant-Kern Deliveries from Kings to Tule
,D930,,,
936,C851_SW,C936_SW,,Shafter-Wasco Canal
,D938_GWP,D936,,
,,D936_GWR,,
937,D935,D937,,Friant-Kern Deliveries from  Tule to Eq
,D936,,,
941,C855_CVC,C941A_CVC,,
,,C941B_CVC,,


